id	instanceid	靡備	杅講	HP捷杅	馴僻捷杅	淝茠	褒伎濬倰
0	89101	闔傑淉泆	3000	40	0.3	1	1
0	22211	闔傑控茠朘	500	4	0.3	0	4
0	22212	麾傑茠朘	500	4	0.3	0	4
0	89102	闔傑璋坢	1000	20	0.3	1	2
0	89103	闔傑璋坢	1000	20	0.3	1	2
0	89104	闔傑陲傑藷	1200	20	0.3	1	3
0	89105	闔傑控傑藷	1200	20	0.3	1	3
0	89106	璋坢	1000	20	0.3	1	2
0	89107	僮璋條	700	4	0.3	1	8
0	89108	僮璋條	700	4	0.3	1	8
0	89109	僮璋條	700	4	0.3	1	8
0	89110	僮璋條	700	4	0.3	1	8
0	89111	шる條	700	4	0.3	1	8
0	89112	шる條	700	4	0.3	1	8
0	89113	倢耋��	2000	4	0.3	1	7
0	89114	шる條	700	4	0.3	1	8
0	89115	шる條	700	4	0.3	1	8
0	89116	шる條	700	4	0.3	1	8
0	89117	шる條	700	4	0.3	1	8
0	89118	卼蚗	2000	4	0.3	1	7
0	89119	僮璋條	700	4	0.3	1	8
0	89120	僮璋條	700	4	0.3	1	8
0	89121	笭祭條	700	4	0.3	1	8
0	89122	笭祭條	700	4	0.3	1	8
0	89123	麻踢	2000	4	0.3	1	7
0	89124	僮璋條	700	4	0.3	1	8
0	89125	僮璋條	700	4	0.3	1	8
0	89126	僮璋條	700	4	0.3	1	8
0	89127	僮璋條	700	4	0.3	1	8
0	89128	僮璋條	700	4	0.3	1	8
0	89129	僮璋條	700	4	0.3	1	8
0	89130	僮璋條	700	4	0.3	1	8
0	89131	僮璋條	700	4	0.3	1	8
0	89132	僮璋條	700	4	0.3	1	8
0	89133	僮璋條	700	4	0.3	1	8
0	89134	僮璋條	700	4	0.3	1	8
0	89135	僮璋條	700	4	0.3	1	8
0	89136	僮璋條	700	4	0.3	1	8
0	89137	僮璋條	700	4	0.3	1	8
0	89138	僮璋條	700	4	0.3	1	8
0	89139	僮璋條	700	4	0.3	1	8
0	89140	僮璋條	700	4	0.3	1	8
0	89141	僮璋條	700	4	0.3	1	8
0	89142	殢條	700	4	0.3	1	8
0	89143	殢條	700	4	0.3	1	8
0	89144	殢條	700	4	0.3	1	8
0	89145	殢條	700	4	0.3	1	8
0	89146	殢條	700	4	0.3	1	8
0	89147	殢條	700	4	0.3	1	8
0	89148	шる條	700	4	0.3	1	8
0	89149	шる條	700	4	0.3	1	8
0	89150	шる條	700	4	0.3	1	8
0	89151	笭祭條	700	4	0.3	1	8
0	89152	笭祭條	700	4	0.3	1	8
0	89153	笭祭條	700	4	0.3	1	8
0	89154	卼蟀	2000	4	0.3	1	7
0	89155	шる條	700	4	0.3	1	8
0	89156	шる條	700	4	0.3	1	8
0	89157	笭祭條	700	4	0.3	1	8
0	89158	笭祭條	700	4	0.3	1	8
0	89159	шる條	700	4	0.3	1	8
0	89160	шる條	700	4	0.3	1	8
0	89161	笭祭條	700	4	0.3	1	8
0	89162	笭祭條	700	4	0.3	1	8
0	89163	笭祭條	700	4	0.3	1	8
0	89164	僮璋條	700	4	0.3	1	8
0	89165	僮璋條	700	4	0.3	1	8
0	89166	僮璋條	700	4	0.3	1	8
0	89167	笭祭條	700	4	0.3	1	8
0	89168	笭祭條	700	4	0.3	1	8
0	89169	僮璋條	700	4	0.3	1	8
0	89170	僮璋條	700	4	0.3	1	8
0	89171	僮璋條	700	4	0.3	1	8
0	89172	僮璋條	700	4	0.3	1	8
0	89173	笭祭條	700	4	0.3	1	8
0	89174	笭祭條	700	4	0.3	1	8
0	89175	笭祭條	700	4	0.3	1	8
0	89176	笭祭條	700	4	0.3	1	8
0	89177	шる條	700	4	0.3	1	8
0	89178	шる條	700	4	0.3	1	8
0	89179	笭祭條	700	4	0.3	1	8
0	89180	笭祭條	700	4	0.3	1	8
0	89181	笭祭條	700	4	0.3	1	8
0	89182	笭祭條	700	4	0.3	1	8
0	89183	僮璋條	700	4	0.3	1	8
0	89184	僮璋條	700	4	0.3	1	8
0	89185	шる條	700	4	0.3	1	8
0	89186	шる條	700	4	0.3	1	8
0	89187	僮璋條	700	4	0.3	1	8
0	89188	僮璋條	700	4	0.3	1	8
0	89189	僮璋條	700	4	0.3	1	8
0	89190	僮璋條	700	4	0.3	1	8
0	89191	шる條	700	4	0.3	1	8
0	89192	шる條	700	4	0.3	1	8
0	89193	卼綸	2000	4	0.3	1	7
0	89194	шる條	700	4	0.3	1	8
0	89195	шる條	700	4	0.3	1	8
0	89196	шる條	700	4	0.3	1	8
0	89197	шる條	700	4	0.3	1	8
0	89198	僮璋條	700	4	0.3	1	8
0	89199	僮璋條	700	4	0.3	1	8
0	89200	笭祭條	700	4	0.3	1	8
0	89201	笭祭條	700	4	0.3	1	8
0	89202	шる條	700	4	0.3	1	8
0	89203	шる條	700	4	0.3	1	8
0	89204	僮璋條	700	4	0.3	1	8
0	89205	僮璋條	700	4	0.3	1	8
0	89206	笭祭條	700	4	0.3	1	8
0	89207	笭祭條	700	4	0.3	1	8
0	110280	皊傑茠朘	500	4	0.3	2	4
1	22211	闔傑控茠朘	500	5	0.3	0	4
1	22212	麾傑茠朘	500	5	0.3	0	4
1	89101	闔傑淉泆	3000	40	0.3	1	1
1	89102	闔傑璋坢	1000	20	0.3	1	2
1	89103	闔傑璋坢	1000	20	0.3	1	2
1	89104	闔傑陲傑藷	1200	20	0.3	1	3
1	89105	闔傑控傑藷	1200	20	0.3	1	3
1	89106	璋坢	1000	20	0.3	1	2
1	89116	шる條	700	5	0.3	1	8
1	89117	шる條	700	5	0.3	1	8
1	89118	卼蚗	2000	5	0.3	1	7
1	89121	笭祭條	700	5	0.3	1	8
1	89122	笭祭條	700	5	0.3	1	8
1	89123	麻踢	2000	5	0.3	1	7
1	89124	僮璋條	700	5	0.3	1	8
1	89130	僮璋條	700	5	0.3	1	8
1	89149	шる條	700	5	0.3	1	8
1	89150	шる條	700	5	0.3	1	8
1	89152	笭祭條	700	5	0.3	1	8
1	89153	笭祭條	700	5	0.3	1	8
1	89154	卼蟀	2000	5	0.3	1	7
1	110280	皊傑茠朘	1500	8	0.3	2	4
1	120042	闔傑滅忐萸	1000	15	3	1	4
2	89101	闔傑淉泆	3000	40	0.3	1	1
10	110281	趐瓮茠朘	500	5	0.3	2	4
10	110281	趐瓮茠朘	500	5	0.3	2	4
