id	instanceid	Ãû³Æ	ÊýÁ¿	HP±¶Êý	¹¥»÷±¶Êý	ÕóÓª	½ÇÉ«ÀàÐÍ
0	21191	Ò×¾©ÕþÌü	3000	40	0.3	1	1
0	21192	Ò×¾©ÄÏ³ÇÃÅ	1200	20	0.3	1	3
0	21193	Ò×¾©±±³ÇÃÅ	1200	20	0.3	1	3
0	21194	Ò×¾©¼ýËþ	1000	20	0.3	1	2
0	21195	Ò×¾©¼ýËþ	1000	20	0.3	1	2
0	63401	ÑÏ¸Ù	3000	40	0.3	1	7
0	63402	Í»Æï±ø	700	4	0.3	1	8
0	63403	Í»Æï±ø	700	4	0.3	1	8
0	63404	Í»Æï±ø	700	4	0.3	1	8
0	63405	Í»Æï±ø	700	4	0.3	1	8
0	63406	Í»Æï±ø	700	4	0.3	1	8
0	63407	åó±ø	700	4	0.3	1	8
0	63408	Í»Æï±ø	700	4	0.3	1	8
0	63409	åó±ø	700	4	0.3	1	8
0	63410	Í»Æï±ø	700	4	0.3	1	8
0	63411	Í»Æï±ø	700	4	0.3	1	8
0	63412	Í»Æï±ø	700	4	0.3	1	8
0	63413	Í»Æï±ø	700	4	0.3	1	8
0	63414	åó±ø	700	4	0.3	1	8
0	63415	åó±ø	700	4	0.3	1	8
0	63416	Í»Æï±ø	700	4	0.3	1	8
0	63417	Í»Æï±ø	700	4	0.3	1	8
0	63418	åó±ø	700	4	0.3	1	8
0	63419	åó±ø	700	4	0.3	1	8
0	63420	Í»Æï±ø	700	4	0.3	1	8
0	63421	Í»Æï±ø	700	4	0.3	1	8
0	63422	Í»Æï±ø	700	4	0.3	1	8
0	63423	Í»Æï±ø	700	4	0.3	1	8
0	63424	Í»Æï±ø	700	4	0.3	1	8
0	63425	Í»Æï±ø	700	4	0.3	1	8
0	63426	åó±ø	700	4	0.3	1	8
0	63427	åó±ø	700	4	0.3	1	8
0	63428	åó±ø	700	4	0.3	1	8
0	63429	åó±ø	700	4	0.3	1	8
0	63430	åó±ø	700	4	0.3	1	8
0	63431	åó±ø	700	4	0.3	1	8
