id	instanceid	Ãû³Æ	ÊýÁ¿	HP±¶Êý	¹¥»÷±¶Êý	ÕóÓª	½ÇÉ«ÀàÐÍ
0	64401	¾ÞÂ¹ÄÏ³ÇÃÅ	1200	20	0.3	1	3
0	22271	¾ÞÂ¹Î÷ÓªÕ¯	500	4	0.3	0	4
0	22272	¾ÞÂ¹±±ÓªÕ¯	500	4	0.3	0	4
0	64402	¾ÞÂ¹Î÷³ÇÃÅ	1200	20	0.3	1	3
0	64403	¾ÞÂ¹¶«³ÇÃÅ	1200	20	0.3	1	3
0	64404	¾ÞÂ¹ÕþÌü	3000	40	0.3	1	1
0	64405	¾ÞÂ¹¼ýËþ	1000	20	0.3	1	2
0	64406	¾ÞÂ¹¼ýËþ	1000	20	0.3	1	2
0	64407	ÕÅ½Ç	2000	4	0.3	1	7
0	64408	ÕÅÁº	2000	4	0.3	1	7
0	64409	ÕÅ±¦	2000	4	0.3	1	7
0	64410	ÕÅÂü³Ç	2000	4	0.3	1	7
0	64411	»Æ½í¹­±ø	700	4	0.3	1	8
0	64412	»Æ½í¹­±ø	700	4	0.3	1	8
0	64413	»Æ½í¹­±ø	700	4	0.3	1	8
0	64414	»Æ½í¹­±ø	700	4	0.3	1	8
0	64415	»Æ½í¹­±ø	700	4	0.3	1	8
0	64416	»Æ½í¹­±ø	700	4	0.3	1	8
0	64417	»Æ½í¹­±ø	700	4	0.3	1	8
0	64418	»Æ½í¹­±ø	700	4	0.3	1	8
0	64419	»Æ½í¹­±ø	700	4	0.3	1	8
0	64420	»Æ½í¹­±ø	700	4	0.3	1	8
0	64421	»Æ½í¹­±ø	700	4	0.3	1	8
0	64422	»Æ½í¹­±ø	700	4	0.3	1	8
0	64423	»Æ½í¹­±ø	700	4	0.3	1	8
0	64424	»Æ½í¹­±ø	700	4	0.3	1	8
0	64425	»Æ½í¹­±ø	700	4	0.3	1	8
0	64426	»Æ½í¹­±ø	700	4	0.3	1	8
0	64427	»Æ½í¹­±ø	700	4	0.3	1	8
0	64428	»Æ½í¹­±ø	700	4	0.3	1	8
0	64429	»Æ½í¹­±ø	700	4	0.3	1	8
0	64430	»Æ½í¹­±ø	700	4	0.3	1	8
0	64431	»Æ½í¹­±ø	700	4	0.3	1	8
0	64432	»Æ½í¹­±ø	700	4	0.3	1	8
0	64433	»Æ½í¹­±ø	700	4	0.3	1	8
0	64434	»Æ½í¹­±ø	700	4	0.3	1	8
0	64435	»Æ½í¹­±ø	700	4	0.3	1	8
0	64436	»Æ½í¹­±ø	700	4	0.3	1	8
0	64437	»Æ½í¹­±ø	700	4	0.3	1	8
0	64438	»Æ½í¹­±ø	700	4	0.3	1	8
0	64439	»Æ½í¹­±ø	700	4	0.3	1	8
0	64440	»Æ½í¹­±ø	700	4	0.3	1	8
0	64441	»Æ½í¹­±ø	700	4	0.3	1	8
0	64442	»Æ½í¹­±ø	700	4	0.3	1	8
0	64443	»Æ½í¹­±ø	700	4	0.3	1	8
0	64444	»Æ½í¹­±ø	700	4	0.3	1	8
0	64445	»Æ½í¹­±ø	700	4	0.3	1	8
0	64446	»Æ½í¹­±ø	700	4	0.3	1	8
0	64447	»Æ½í¹­±ø	700	4	0.3	1	8
0	64448	»Æ½í¹­±ø	700	4	0.3	1	8
0	64449	»Æ½í¹­±ø	700	4	0.3	1	8
0	64450	»Æ½í¹­±ø	700	4	0.3	1	8
0	64451	»Æ½í²½±ø	700	4	0.3	1	8
0	64452	»Æ½í²½±ø	700	4	0.3	1	8
0	64453	»Æ½í²½±ø	700	4	0.3	1	8
0	64454	»Æ½í²½±ø	700	4	0.3	1	8
0	64455	»Æ½í²½±ø	700	4	0.3	1	8
0	64456	»Æ½í²½±ø	700	4	0.3	1	8
0	64457	»Æ½í¹­±ø	700	4	0.3	1	8
0	64458	»Æ½í¹­±ø	700	4	0.3	1	8
0	64459	»Æ½í¹­±ø	700	4	0.3	1	8
0	64460	»Æ½í¹­±ø	700	4	0.3	1	8
0	64461	»Æ½í²½±ø	700	4	0.3	1	8
0	64462	»Æ½í²½±ø	700	4	0.3	1	8
0	64463	»Æ½í¹­±ø	700	4	0.3	1	8
0	64464	»Æ½í¹­±ø	700	4	0.3	1	8
0	64465	»Æ½í²½±ø	700	4	0.3	1	8
0	64466	»Æ½í²½±ø	700	4	0.3	1	8
0	64467	»Æ½í¹­±ø	700	4	0.3	1	8
