id	instanceid	名称	数量	HP倍数	攻击倍数	阵营
0	26015	长坂政厅	1	0.65	1	1
0	26016	宋总	1	16000	16000	1
0	26017		3200	1	1	1
0	26018		3200	1	1	1
0	26019		3200	1	1	1
0	26020		3200	1	1	1
0	26021		3200	1	1	1
0	26022		3200	1	1	1
0	26023		3200	1	1	1
0	26024		3200	1	1	1
0	26025		3200	1	1	1
0	26026		3200	1	1	1
0	26027		3200	1	1	1
0	26028		3200	1	1	1
0	26029		3200	1	1	1
0	26030		3200	1	1	1
0	26031		3200	1	1	1
0	26032		3200	1	1	1
0	26033		3200	1	1	1
0	26034		3200	1	1	1
0	26035		3200	1	1	1
0	26036		3200	1	1	1
0	26037		3200	1	1	1
0	26038		3200	1	1	1
0	26039		3200	1	1	1
0	26040		3200	1	1	1
0	26041		3200	1	1	1
0	26042		3200	1	1	1
0	26043		3200	1	1	1
0	26044		3200	1	1	1
0	26045		3200	1	1	1
0	26046		3200	1	1	1
0	26047		3200	1	1	1
0	26048		3200	1	1	1
0	26049		3200	1	1	1
0	26050		3200	1	1	1
0	26051		3200	1	1	1
0	26052		3200	1	1	1
0	26053		3200	1	1	1
1	26015	长坂政厅	1	1	1	1
1	26016	宋总	1	20000	20000	1
1	26017		7000	1	1	1
1	26050		7000	1	1	1
2	26015		1	1	1	1
