id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	600000	刘备据点	1000	20	0.3	1	4
0	600001	董卓据点	1000	20	0.3	2	4
0	600002	刘备	2000	100	0.3	1	7
0	600003	董卓	2000	100	0.3	2	13
0	600004	董卓营寨	1000	10	0.3	2	4
0	600005	刘备营寨	1000	10	0.3	1	4
0	600006	弩兵	500	5	0.3	1	8
0	600007	弩兵	500	5	0.3	1	8
0	600008	虎卫营	500	5	0.3	1	8
0	600009	虎卫营	500	5	0.3	1	8
0	600010	黑山弩兵	500	5	0.3	2	12
0	600011	黑山弩兵	500	5	0.3	2	12
0	600012	黑山步兵	500	5	0.3	2	12
0	600013	黑山步兵	500	5	0.3	2	12
1	600014	关羽	2000	8	0.3	1	7
2	600015	华雄	2000	8	0.3	2	13
3	600016	张飞	2000	8	0.3	1	7
4	600017	吕布	2000	8	0.3	2	13
5	600018	先登强弩	500	5	0.3	1	8
5	600019	先登强弩	500	5	0.3	1	8
6	600020	先登强弩	500	5	0.3	2	12
6	600021	先登强弩	500	5	0.3	2	12
7	600006	弩兵	500	5	0.3	1	8
7	600007	弩兵	500	5	0.3	1	8
7	600008	虎卫营	500	5	0.3	1	8
7	600009	虎卫营	500	5	0.3	1	8
7	600010	黑山弩兵	500	5	0.3	2	12
7	600011	黑山弩兵	500	5	0.3	2	12
7	600012	黑山步兵	500	5	0.3	2	12
7	600013	黑山步兵	500	5	0.3	2	12
