进度	instanceid	数量	HP倍数	攻击倍数	阵营
0	30000	10	1	1	1
0	30001	10	1	1	1
0	30002	10	1	1	1
0	30003	10	1	1	1
0	30004	10	1	1	1
0	30005	10	1	1	1
0	30006	50	1	1	1
0	30007	10	1	1	1
0	30008	10	1	1	1
0	30009	50	1	1	1
0	30010	50	1	1	1
0	30011	50	1	1	1
0	30012	10	1	1	1
0	30013	50	1	1	1
0	30014	10	1	1	1
0	30015	10	1	1	1
0	30016	50	1	1	1
0	30017	10	1	1	1
0	30018	10	1	1	1
0	30019	10	1	1	1
0	30020	50	1	1	1
0	30021	50	1	1	1
0	30022	50	1	1	1
0	30023	100	1	1	1
0	30024	100	1	1	1
0	30025	50	1	1	1
0	30026	50	1	1	1
0	30027	10	1	1	1
0	30028	10	1	1	1
0	30029	50	1	1	1
0	30030	50	1	1	1
0	30031	50	1	1	1
0	30032	50	1	1	1
0	30033	50	1	1	1
0	30034	50	1	1	1
0	30035	50	1	1	1
0	30036	50	1	1	1
0	30037	50	1	1	1
0	30038	10	1	1	1
0	30039	10	1	1	1
0	30040	10	1	1	1
0	30041	10	1	1	1
0	30042	10	1	1	1
0	30043	50	1	1	1
0	30044	50	1	1	1
0	30045	50	1	1	1
0	30046	1	1	1	1
0	30047	50	1	1	1
0	30048	50	1	1	1
0	30049	50	1	1	1
0	30050	50	1	1	1
0	30051	50	1	1	1
0	30052	50	1	1	1
0	30053	1	1	1	1
0	30054	1	1	1	1
0	30055	1	1	1	1
0	30056	1	1	1	1
0	30057	1	1	1	1
0	30058	1	1	1	1
0	30059	1	1	1	1
0	30060	1	1	1	1
1	30060	1	1	1	1
