id	instanceid	名称	数量	HP倍数	攻击倍数	阵营
0	24390	代郡城门	1	0.3	1	1
0	24391	代郡政厅	1	0.3	1	1
0	24392	代郡箭塔	1	0.1	0.1	1
0	24393	代郡箭塔	1	0.1	0.1	1
0	24394	拒马	1	1	1	1
0	24395	拒马	1	1	1	1
0	24396	拒马	1	1	1	1
0	24397	箭塔	1	0.1	0.1	1
0	24398	箭塔	1	0.1	0.1	1
0	24399		85	1	1	1
0	24400		85	1	1	1
0	24401		85	1	1	1
0	24402		85	1	1	1
0	24403		85	1	1	1
0	24404		85	1	1	1
0	24405		200	1	1	1
0	24406		200	1	1	1
0	24407		200	1	1	1
0	24408		200	1	1	1
0	24409		85	1	1	1
0	24410		85	1	1	1
0	24411		85	1	1	1
0	24412		85	1	1	1
0	24413		200	1	1	1
0	24414		200	1	1	1
0	24415		200	1	1	1
0	24416		200	1	1	1
0	24417		200	1	1	1
0	24418		200	1	1	1
0	24419		140	1	1	1
0	24420		140	1	1	1
0	24421		140	1	1	1
0	24422		140	1	1	1
0	24423		140	1	1	1
0	24424		140	1	1	1
0	24425		140	1	1	1
0	24426		140	1	1	1
0	24427		140	1	1	1
0	24428		140	1	1	1
0	24429		140	1	1	1
0	24430		140	1	1	1
0	24431		140	1	1	1
0	24432		140	1	1	1
0	24433		140	1	1	1
0	24434		140	1	1	1
0	24435		140	1	1	1
0	24436		140	1	1	1
0	24437		140	1	1	1
0	24438		140	1	1	1
0	24439		140	1	1	1
0	24440		140	1	1	1
0	24441		140	1	1	1
0	24442		140	1	1	1
0	24443		140	1	1	1
0	24444		140	1	1	1
0	24445		140	1	1	1
0	24446		140	1	1	1
0	24447		140	1	1	1
0	24448		140	1	1	1
0	24449		140	1	1	1
0	24450		140	1	1	1
0	24451		140	1	1	1
0	24452		140	1	1	1
0	24453		140	1	1	1
0	24454		140	1	1	1
0	24455		140	1	1	1
0	24456		140	1	1	1
0	24457		140	1	1	1
0	24458		170	1	1	1
0	24459		170	1	1	1
0	24460		170	1	1	1
0	24461		170	1	1	1
0	24462		170	1	1	1
0	24463		170	1	1	1
0	24464		170	1	1	1
0	24465		170	1	1	1
0	24466		170	1	1	1
0	24467		170	1	1	1
0	24468		170	1	1	1
0	24469		170	1	1	1
0	24470		170	1	1	1
0	24471		170	1	1	1
0	24472	田畴	1	2000	2000	1
0	24473		225	1	1	1
0	24474		225	1	1	1
0	24475		225	1	1	1
0	24476		225	1	1	1
0	24477	刘恢	1	3000	3000	1
0	22057	据点1	1	1	1	1
0	22058	据点2	1	1	1	0
0	22059	据点3	1	1	1	0
1	24390	代郡城门	1	1	1	1
1	24391	代郡政厅	1	1	1	1
1	24392	代郡箭塔	1	1	1	1
1	24393	代郡箭塔	1	1	1	1
1	24394	拒马	1	1	1	1
1	24395	拒马	1	1	1	1
1	24396	拒马	1	1	1	1
1	24397	箭塔	1	1	1	1
1	24398	箭塔	1	1	1	1
1	24409		7000	1	1	1
1	24410		7000	1	1	1
1	24448		7000	1	1	1
1	24449		7000	1	1	1
1	24470		7000	1	1	1
1	24471		7000	1	1	1
1	24472	田畴	1	12000	12000	1
1	24473		7000	1	1	1
1	24474		7000	1	1	1
1	24475		7000	1	1	1
1	24476		7000	1	1	1
1	24477	刘恢	1	13000	13000	1
1	22057	据点1	1	5	1	1
1	22058	据点2	1	5	1	0
1	22059	据点3	1	5	1	0
2	24391	代郡政厅	1	1	1	1
