id	instanceid	靡備	杅講	HP捷杅	馴僻捷杅	淝茠	褒伎濬倰
0	93901	唹梒淉泆	3000	40	0.3	1	1
0	22309	唹梒茠朘	500	4	0.3	0	4
0	22310	唹梒茠朘	500	4	0.3	0	4
0	22311	唹梒茠朘	500	4	0.3	0	4
0	93902	唹梒陲傑藷	1200	20	0.3	1	3
0	93903	唹梒控傑藷	1200	20	0.3	1	3
0	93904	唹梒鰍傑藷	1200	20	0.3	1	3
0	93905	璋坢	1000	20	0.3	1	2
0	93906	璋坢	1000	20	0.3	1	2
0	93907	璋坢	1000	20	0.3	1	2
0	93908	璋坢	1000	20	0.3	1	2
0	93909	璋坢	1000	20	0.3	1	2
0	93910	璋坢	1000	20	0.3	1	2
0	93911	璋坢	1000	20	0.3	1	2
0	93912	璋坢	1000	20	0.3	1	2
0	93913	竣栠條	700	4	0.3	1	8
0	93914	竣栠條	700	4	0.3	1	8
0	93915	殢條	700	4	0.3	1	8
0	93916	殢條	700	4	0.3	1	8
0	93917	竣栠條	700	4	0.3	1	8
0	93918	竣栠條	700	4	0.3	1	8
0	93919	殢條	700	4	0.3	1	8
0	93920	殢條	700	4	0.3	1	8
0	93921	竣栠條	700	4	0.3	1	8
0	93922	竣栠條	700	4	0.3	1	8
0	93923	殢條	700	4	0.3	1	8
0	93924	殢條	700	4	0.3	1	8
0	93925	竣栠條	700	4	0.3	1	8
0	93926	竣栠條	700	4	0.3	1	8
0	93927	竣栠條	700	4	0.3	1	8
0	93928	殢條	700	4	0.3	1	8
0	93929	殢條	700	4	0.3	1	8
0	93930	殢條	700	4	0.3	1	8
0	93931	шる條	700	4	0.3	1	8
0	93932	шる條	700	4	0.3	1	8
0	93933	酗磢條	700	4	0.3	1	8
0	93934	酗磢條	700	4	0.3	1	8
0	93935	шる條	700	4	0.3	1	8
0	93936	шる條	700	4	0.3	1	8
0	93937	酗磢條	700	4	0.3	1	8
0	93938	酗磢條	700	4	0.3	1	8
0	93939	шる條	700	4	0.3	1	8
0	93940	шる條	700	4	0.3	1	8
0	93941	酗磢條	700	4	0.3	1	8
0	93942	酗磢條	700	4	0.3	1	8
0	93943	竣栠條	700	4	0.3	1	8
0	93944	竣栠條	700	4	0.3	1	8
0	93945	竣栠條	700	4	0.3	1	8
0	93946	竣栠條	700	4	0.3	1	8
0	93947	卼詢	2000	4	0.3	1	7
0	93948	竣栠條	700	4	0.3	1	8
0	93949	竣栠條	700	4	0.3	1	8
0	93950	竣栠條	700	4	0.3	1	8
0	93951	竣栠條	700	4	0.3	1	8
0	93952	卼逜	2000	4	0.3	1	7
0	93953	竣栠條	700	4	0.3	1	8
0	93954	竣栠條	700	4	0.3	1	8
0	93955	竣栠條	700	4	0.3	1	8
0	93956	竣栠條	700	4	0.3	1	8
0	93957	卼嶊	2000	4	0.3	1	7
0	93958	殢條	700	4	0.3	1	8
0	93959	殢條	700	4	0.3	1	8
0	93960	殢條	700	4	0.3	1	8
0	93961	殢條	700	4	0.3	1	8
0	93962	殢條	700	4	0.3	1	8
0	93963	殢條	700	4	0.3	1	8
0	93964	殢條	700	4	0.3	1	8
0	93965	殢條	700	4	0.3	1	8
0	93966	殢條	700	4	0.3	1	8
0	93967	殢條	700	4	0.3	1	8
0	93968	殢條	700	4	0.3	1	8
0	93969	殢條	700	4	0.3	1	8
0	93970	殢條	700	4	0.3	1	8
0	93971	殢條	700	4	0.3	1	8
0	93972	殢條	700	4	0.3	1	8
0	93973	殢條	700	4	0.3	1	8
0	93974	殢條	700	4	0.3	1	8
0	93975	殢條	700	4	0.3	1	8
0	93976	殢條	700	4	0.3	1	8
0	93977	殢條	700	4	0.3	1	8
0	93978	殢條	700	4	0.3	1	8
0	93979	殢條	700	4	0.3	1	8
0	93980	殢條	700	4	0.3	1	8
0	93981	殢條	700	4	0.3	1	8
0	93982	殢條	700	4	0.3	1	8
0	93983	殢條	700	4	0.3	1	8
0	93984	殢條	700	4	0.3	1	8
0	93985	殢條	700	4	0.3	1	8
0	93986	竣栠條	700	4	0.3	1	8
