id	instanceid	Γϋ³Ζ	ΚύΑΏ	HP±¶Κύ	Ή¥»χ±¶Κύ	ΥσΣª	½ΗΙ«ΐΰΠΝ
0	205101	¶¨ΜΥΥώΜό	2177	1.5	2	2	1
0	205102	Αυ±Έ	5629	2	2	2	13
0	205103	Αυθ°Ύό	363	2	2	1	8
0	205104	Αυθ°Ύό	363	2	2	1	8
0	205105	Αυθ°Ύό	363	2	2	1	8
0	205106	Αυθ°Ύό	363	2	2	1	8
0	205107	Αυθ°Ύό	363	2	2	1	8
0	205108	Αυθ°Ύό	363	2	2	1	8
0	205109	Αυθ°Ύό	363	2	2	1	8
0	205110	Αυθ°Ύό	363	2	2	1	8
0	205111	Αυθ°Ύό	363	2	2	1	8
0	205112	Αυθ°Ύό	363	2	2	1	8
0	205113	Αυθ°Ύό	363	2	2	1	8
0	205114	Αυθ°Ύό	363	2	2	1	8
0	205115	Αυθ°Ύό	363	2	2	1	8
0	205116	Αυθ°Ύό	363	2	2	1	8
0	205117	Αυθ°Ύό	363	2	2	1	8
0	205118	Αυθ°Ύό	363	2	2	1	8
0	205119	Αυθ°Ύό	363	2	2	1	8
0	205120	Αυθ°Ύό	363	2	2	1	8
0	205121	Αυθ°Ύό	363	2	2	1	8
0	205122	Αυθ°Ύό	363	2	2	1	8
0	205123	Αυθ°Ύό	363	2	2	1	8
0	205124	Αυθ°Ύό	363	2	2	1	8
0	205125	Αυθ°Ύό	363	2	2	1	8
0	205126	Αυθ°Ύό	363	2	2	1	8
0	205127	Αυθ°Ύό	363	2	2	1	8
0	205128	Αυθ°Ύό	363	2	2	1	8
0	205129	Αυθ°Ύό	363	2	2	1	8
0	205130	Αυθ°Ύό	363	2	2	1	8
0	205131	Αυθ°Ύό	363	2	2	1	8
0	205132	Αυθ°Ύό	363	2	2	1	8
0	205133	Αυθ°Ύό	363	2	2	1	8
0	205134	Αυθ°Ύό	363	2	2	1	8
0	205135	Αυθ°Ύό	363	2	2	1	8
0	205136	Αυθ°Ύό	363	2	2	1	8
0	205137	Αυθ°Ύό	363	2	2	1	8
0	205138	Αυθ°Ύό	363	2	2	1	8
0	205139	Αυθ°Ύό	363	2	2	1	8
0	205140	Αυθ°Ύό	363	2	2	1	8
0	205141	Αυθ°Ύό	363	2	2	1	8
0	205142	Αυθ°Ύό	363	2	2	1	8
0	205143	ΥΕΘΞ	435	2	2	1	7
0	205144	Αυθ°Ύέµγ	726	1.5	2	1	4
0	205145	ΙρΓΨ±¦Οδ	15	1	1	0	0
0	205146	ΎάΒν	15	1	1	0	0
0	205147	Λ®Ύ®	15	1	1	0	0
1	205143	ΥΕΘΞ	435	2	2	1	7
1	205144	Αυθ°Ύέµγ	726	1.5	2	1	4
2	205103	Αυθ°Ύό	363	2	2	1	8
2	205104	Αυθ°Ύό	363	2	2	1	8
2	205105	Αυθ°Ύό	363	2	2	1	8
2	205106	Αυθ°Ύό	363	2	2	1	8
2	205107	Αυθ°Ύό	363	2	2	1	8
2	205108	Αυθ°Ύό	363	2	2	1	8
2	205109	Αυθ°Ύό	363	2	2	1	8
2	205110	Αυθ°Ύό	363	2	2	1	8
2	205111	Αυθ°Ύό	363	2	2	1	8
2	205112	Αυθ°Ύό	363	2	2	1	8
2	205113	Αυθ°Ύό	363	2	2	1	8
2	205114	Αυθ°Ύό	363	2	2	1	8
2	205115	Αυθ°Ύό	363	2	2	1	8
2	205116	Αυθ°Ύό	363	2	2	1	8
2	205117	Αυθ°Ύό	363	2	2	1	8
2	205118	Αυθ°Ύό	363	2	2	1	8
2	205119	Αυθ°Ύό	363	2	2	1	8
2	205120	Αυθ°Ύό	363	2	2	1	8
2	205121	Αυθ°Ύό	363	2	2	1	8
2	205122	Αυθ°Ύό	363	2	2	1	8
2	205123	Αυθ°Ύό	363	2	2	1	8
2	205124	Αυθ°Ύό	363	2	2	1	8
2	205125	Αυθ°Ύό	363	2	2	1	8
2	205126	Αυθ°Ύό	363	2	2	1	8
2	205127	Αυθ°Ύό	363	2	2	1	8
2	205128	Αυθ°Ύό	363	2	2	1	8
2	205129	Αυθ°Ύό	363	2	2	1	8
2	205130	Αυθ°Ύό	363	2	2	1	8
2	205131	Αυθ°Ύό	363	2	2	1	8
2	205132	Αυθ°Ύό	363	2	2	1	8
2	205133	Αυθ°Ύό	363	2	2	1	8
2	205134	Αυθ°Ύό	363	2	2	1	8
2	205135	Αυθ°Ύό	363	2	2	1	8
2	205136	Αυθ°Ύό	363	2	2	1	8
2	205137	Αυθ°Ύό	363	2	2	1	8
2	205138	Αυθ°Ύό	363	2	2	1	8
2	205139	Αυθ°Ύό	363	2	2	1	8
2	205140	Αυθ°Ύό	363	2	2	1	8
2	205141	Αυθ°Ύό	363	2	2	1	8
2	205142	Αυθ°Ύό	363	2	2	1	8
3	205145	ΙρΓΨ±¦Οδ	15	1	1	0	0
4	205146	ΎάΒν	15	1	1	0	0
5	205102	Αυ±Έ	3629	2	2	2	13
