id	instanceid	名称	数量	HP倍数	攻击倍数	阵营
0	21005	政厅	1	0.3	1	1
0	21006	城门1	1	0.3	1	1
0	21007	城门2	1	0.3	1	1
0	21008	城门3	1	0.3	1	1
0	20278	箭楼	1	0.1	0.1	1
0	20279	箭楼	1	0.1	0.1	1
0	20280	箭楼	1	0.1	0.1	1
0	20281	箭楼	1	0.1	0.1	1
0	20282	箭塔	1	0.1	0.1	1
0	20283	箭塔	1	0.1	0.1	1
0	20284	箭塔	1	0.1	0.1	1
0	20285	箭塔	1	0.1	0.1	1
0	20286		150	1	1	1
0	20287		150	1	1	1
0	20288		150	1	1	1
0	20289		150	1	1	1
0	20290		150	1	1	1
0	20291		150	1	1	1
0	20292		150	1	1	1
0	20293		150	1	1	1
0	20294		150	1	1	1
0	20295		150	1	1	1
0	20296		150	1	1	1
0	20297		150	1	1	1
0	20298		150	1	1	1
0	20299		150	1	1	1
0	20300		150	1	1	1
0	20301		150	1	1	1
0	20302		150	1	1	1
0	20303		150	1	1	1
0	20304		150	1	1	1
0	20305		150	1	1	1
0	20306		150	1	1	1
0	20307		150	1	1	1
0	20308		150	1	1	1
0	20309		150	1	1	1
0	20310		150	1	1	1
0	20311		150	1	1	1
0	20312		150	1	1	1
0	20313		150	1	1	1
0	20314		150	1	1	1
0	20315		150	1	1	1
0	20316		150	1	1	1
0	20317		150	1	1	1
0	20318		150	1	1	1
0	20319		150	1	1	1
0	20320	严白虎	1	1500	1500	1
0	20321		150	1	1	1
0	20322		150	1	1	1
0	20323		150	1	1	1
0	20324		150	1	1	1
0	20325	严兴	1	1500	1500	1
0	20326		150	1	1	1
0	20327		150	1	1	1
0	20328		150	1	1	1
0	20329		150	1	1	1
0	20330	全琮	1	1500	1500	1
0	20331		150	1	1	1
0	20332		150	1	1	1
0	20333		150	1	1	1
0	20334		150	1	1	1
0	20335		150	1	1	1
0	20336		150	1	1	1
0	20337		150	1	1	1
0	20338		150	1	1	1
0	20339		150	1	1	1
0	20340		150	1	1	1
0	20341		150	1	1	1
0	20342		150	1	1	1
0	20343		150	1	1	1
0	20344		150	1	1	1
0	20345		150	1	1	1
0	20346		150	1	1	1
0	20347		150	1	1	1
0	20348		150	1	1	1
0	20349		150	1	1	1
0	20350		150	1	1	1
0	20351		150	1	1	1
0	20352		150	1	1	1
0	20353		150	1	1	1
0	20354		150	1	1	1
0	20355		150	1	1	1
0	20356		150	1	1	1
0	20357		150	1	1	1
0	20358		150	1	1	1
0	20359		150	1	1	1
0	20360		150	1	1	1
0	20361		150	1	1	1
0	20362		150	1	1	1
0	20363		150	1	1	1
0	20364		150	1	1	1
0	20365		150	1	1	1
0	20366		150	1	1	1
0	20367		150	1	1	1
0	20368		150	1	1	1
0	20369		150	1	1	1
0	20370		150	1	1	1
0	20371		150	1	1	1
0	20372		150	1	1	1
0	20373		150	1	1	1
0	20374		150	1	1	1
0	20375		150	1	1	1
0	20376		150	1	1	1
0	20377		150	1	1	1
0	20378		150	1	1	1
0	20379		150	1	1	1
0	20380		150	1	1	1
0	20381		150	1	1	1
0	20382		150	1	1	1
0	20383	陆绩	1	3500	3500	1
0	20384	许贡	1	2500	2500	1
0	22031	据点1	1	1	1	0
0	22032	据点2	1	1	1	0
0	22033	据点3	1	1	1	0
1	21005	政厅	1	1	1	1
1	21006	城门1	1	1	1	1
1	21007	城门2	1	1	1	1
1	21008	城门3	1	1	1	1
1	20278	箭楼	1	1	1	1
1	20279	箭楼	1	1	1	1
1	20280	箭楼	1	1	1	1
1	20281	箭楼	1	1	1	1
1	20282	箭塔	1	1	1	1
1	20283	箭塔	1	1	1	1
1	20284	箭塔	1	1	1	1
1	20285	箭塔	1	1	1	1
1	20318		7000	1	1	1
1	20319		7000	1	1	1
1	20320		1	16000	16000	1
1	20323		7000	1	1	1
1	20324		7000	1	1	1
1	20325		1	16000	16000	1
1	20328		7000	1	1	1
1	20329		7000	1	1	1
1	20330		1	16000	16000	1
1	20333		7000	1	1	1
1	20334		7000	1	1	1
1	20341		7000	1	1	1
1	20342		7000	1	1	1
1	20354		7000	1	1	1
1	20355		7000	1	1	1
1	20381		7000	1	1	1
1	20382		7000	1	1	1
1	20383	陆绩	1	20000	20000	1
1	20384	许贡	1	13000	13000	1
1	22031	据点1	1	5	1	0
1	22032	据点2	1	5	1	0
1	22033	据点3	1	5	1	0
2	21005	政厅	1	1	1	1
