widget	script
UI_Paihangban	UI_PaihangbanCanvas.cfg
Paihanqy_BiaoQian	Paihanqy_BiaoQian.cfg
UI_Zhan_1	UI_WorldRankZhan_1.cfg
UI_Zhan_2	UI_WorldRankZhan_2.cfg
UI_Zhan_3	UI_WorldRankZhan_3.cfg
UI_Zhan_4	UI_WorldRankZhan_4.cfg
UI_Zhan_5	UI_WorldRankZhan_5.cfg
UI_Zhan_6	UI_WorldRankZhan_6.cfg
UI_Zhan_7	UI_WorldRankZhan_7.cfg
UI_Zhan_8	UI_WorldRankZhan_8.cfg
UI_Zhan_9	UI_WorldRankZhan_9.cfg
UI_Zhan_10	UI_WorldRankZhan_10.cfg
UI_Zhanshi	UI_WorldZhanShi.cfg
Paihanb_Huodong	ui_frame.cfg
UI_Paihanb_Close	UI_Paihanb_Close.cfg
Jianli_Icon	Worldrankrewardimg0.cfg
Jianli_Icon_1	Worldrankrewardimg1.cfg
Jianli_Icon_3	Worldrankrewardimg2.cfg
Jianli_Icon_2	Worldrankrewardimg3.cfg
Jianli_Icon_5	Worldrankrewardimg4.cfg
Jianli_Icon_4	Worldrankrewardimg5.cfg
Jianli_Icon_7	Worldrankrewardimg6.cfg
Jianli_Icon_6	Worldrankrewardimg7.cfg
Jianli_Icon_9	Worldrankrewardimg8.cfg
Jianli_Icon_8	Worldrankrewardimg9.cfg
Jianli_Icon_10	Worldrankrewardimg10.cfg
Jianli_Icon_11	Worldrankrewardimg11.cfg
Jianli_Icon_12	Worldrankrewardimg12.cfg
Jianli_Icon_13	Worldrankrewardimg13.cfg
Jianli_Icon_14	Worldrankrewardimg14.cfg
Jianli_Icon_15	Worldrankrewardimg15.cfg
Jianli_Icon_16	Worldrankrewardimg16.cfg
Jianli_Icon_17	Worldrankrewardimg17.cfg
Jianli_Icon_18	Worldrankrewardimg18.cfg
Jianli_Icon_19	Worldrankrewardimg19.cfg
UI_Zhanchan_Sm_1	UI_worldranksm.cfg
