widget	script
Lingzhu	UI_Lingzhu.cfg
NeiZheng	UI_NeiZheng.cfg
BeiBao	UI_BeiBao.cfg
JiangKa	UI_JiangKa.cfg
ChengJiu	ChengJiu.cfg
JunTuan	UI_Juntuan.cfg
BianDui	UI_Biandui.cfg
XiTong	UI_ConsolBar2System.cfg
ChuZheng	UI_Chuzheng.cfg
UI_ManorStair_Taskbar	UI_ManorStair_Taskbar.cfg
GuoJia	UI_GuoJia.cfg
KeJi	UI_KeJi.cfg
GuanZhi	UI_GuanZhi.cfg
UI_PersuadeSucess	UI_PersuadeSucess.cfg
JiangKa_Widget	JiangKa_Widget.cfg
KeJi_Widget	UI_KeJi.cfg
JunTuan_Widget	UI_Juntuan.cfg
UI_Shijie	ShijiefubenBtn.cfg
UI_Fuben	UI_Chuzheng.cfg
UI_Guizhe	Shuoming_Shijiefuben.cfg
UI_Guanai	UI_Beta1_ChengZhan.cfg
UI_Guozhan	UI_Beta1_ChengZhan.cfg
UI_Jianguo	Jianguo.cfg
Guozhandh_Widget	UI_Beta1_ChengZhan.cfg
BianDui_Widget	UI_Biandui.cfg
ShenQi	ShenQi.cfg
