id	text
1	task/dialogue/Dxinshouyindao01.cfg
2	task/dialogue/Dxinshouyindao0101.cfg
3	task/dialogue/Dxinshouyindao02.cfg
4	task/dialogue/Dxinshouyindao0201.cfg
5	task/dialogue/Dxinshouyindao03.cfg
6	task/dialogue/Dxinshouyindao04.cfg
7	task/dialogue/Dxinshouyindao05.cfg
8	task/dialogue/Dxinshouyindao0501.cfg
9	task/dialogue/Dxinshouyindao0502.cfg
10	task/dialogue/Dxinshouyindao06.cfg
11	task/dialogue/Dxinshouyindao0601.cfg
12	task/dialogue/Dxinshouyindao07.cfg
13	task/dialogue/Dxinshouyindao0701.cfg
14	task/dialogue/Dxinshouyindao08.cfg
15	task/dialogue/Dxinshouyindao09.cfg
16	task/dialogue/Dxinshouyindao0901.cfg
17	task/dialogue/Dxinshouyindao10.cfg
18	task/dialogue/Dxinshouyindao1001.cfg
19	task/dialogue/Dxinshouyindao11.cfg
20	task/dialogue/Dxinshouyindao1101.cfg
21	task/dialogue/Dxinshouyindao12.cfg
22	task/dialogue/Dxinshouyindao1201.cfg
23	task/dialogue/Dxinshouyindao13.cfg
24	task/dialogue/Dxinshouyindao1301.cfg
25	task/dialogue/Dxinshouyindao14.cfg
26	task/dialogue/Dxinshouyindao1401.cfg
27	task/dialogue/Dxinshouyindao15.cfg
28	task/dialogue/Dxinshouyindao16.cfg
29	task/dialogue/Dxinshouyindao1601.cfg
30	task/dialogue/Dxinshouyindao17.cfg
31	task/dialogue/Dxinshouyindao1701.cfg
32	task/dialogue/Dxinshouyindao1702.cfg
34	task/dialogue/Dxinshouyindao18.cfg
35	task/dialogue/Dxinshouyindao19.cfg
36	task/dialogue/Dxinshouyindao20.cfg
37	task/dialogue/Dxinshouyindao21.cfg
38	task/dialogue/Dxinshouyindao22.cfg
39	task/dialogue/Dxinshouyindao2201.cfg
40	task/dialogue/Dxinshouyindao2202.cfg
41	task/dialogue/Dchufayindao10000.cfg
42	task/dialogue/Dchufayindao10001.cfg
43	task/dialogue/Dchufayindao10002.cfg
44	task/dialogue/Dchufayindao10003.cfg
45	task/dialogue/Dchufayindao10004.cfg
46	task/dialogue/Dchufayindao10005.cfg
47	task/dialogue/Dchufayindao10006.cfg
48	task/dialogue/Dchufayindao10007.cfg
49	task/dialogue/Dchufayindao10008.cfg
50	task/dialogue/Dchufayindao10009.cfg
51	task/dialogue/Dchufayindao10010.cfg
52	task/dialogue/Dchufayindao10011.cfg
53	task/dialogue/Dchufayindao10012.cfg
54	task/dialogue/Dchufayindao10013.cfg
55	task/dialogue/Dchufayindao10014.cfg
56	task/dialogue/Dchufayindao10015.cfg
57	task/dialogue/Dchufayindao10016.cfg
