instanceid	掉落种数	abstractid	itemtype	数量	掉落几率
150010	1	20040	0	1|1	80
177010	1	20040	0	1|1	80
179040	1	20040	0	1|1	80
187020	1	20040	0	1|1	80
187040	1	20040	0	1|1	80
10007	1	20084	0	1|1	15
10008	1	20084	0	1|1	15
10009	1	20084	0	1|1	15
10010	1	20084	0	1|1	15
10011	1	20084	0	1|1	15
10012	1	20084	0	1|1	15
10013	1	20084	0	1|1	15
10014	1	20084	0	1|1	15
10015	1	20084	0	1|1	15
10016	1	20084	0	1|1	15
10017	1	20084	0	1|1	15
10018	1	20084	0	1|1	15
10019	1	20084	0	1|1	15
10020	1	20084	0	1|1	15
10021	1	20084	0	1|1	15
10022	1	20084	0	1|1	15
10023	1	20084	0	1|1	15
10024	1	20084	0	1|1	15
10025	1	20084	0	1|1	15
10026	1	20084	0	1|1	15
10027	1	20084	0	1|1	15
10028	1	20084	0	1|1	15
10029	1	20084	0	1|1	15
10030	1	20084	0	1|1	15
10031	1	20084	0	1|1	15
10032	1	20084	0	1|1	15
10033	1	20084	0	1|1	15
10034	1	20084	0	1|1	15
10035	1	20084	0	1|1	15
10036	1	20084	0	1|1	15
10037	1	20084	0	1|1	15
10038	1	20084	0	1|1	15
10039	1	20084	0	1|1	15
10040	1	20084	0	1|1	15
10041	1	20084	0	1|1	15
10042	1	20084	0	1|1	15
10043	1	20084	0	1|1	15
10044	1	20084	0	1|1	15
10045	1	20084	0	1|1	15
10046	1	20084	0	1|1	15
10047	1	20084	0	1|1	15
10048	1	20084	0	1|1	15
10049	1	20084	0	1|1	15
10050	1	20084	0	1|1	15
10051	1	20084	0	1|1	15
10052	1	20084	0	1|1	15
10053	1	20084	0	1|1	15
10054	1	20084	0	1|1	15
10055	1	20084	0	1|1	15
10056	1	20084	0	1|1	15
10057	1	20084	0	1|1	15
10058	1	20084	0	1|1	15
10059	1	20084	0	1|1	15
10060	1	20084	0	1|1	15
10061	1	20084	0	1|1	15
10062	1	20084	0	1|1	15
10063	1	20084	0	1|1	15
10064	1	20084	0	1|1	15
10065	1	20084	0	1|1	15
10066	1	20084	0	1|1	15
10067	1	20084	0	1|1	15
10068	1	20084	0	1|1	15
10069	1	20084	0	1|1	15
10070	1	20084	0	1|1	15
10071	1	20084	0	1|1	15
10072	1	20084	0	1|1	15
10073	1	20084	0	1|1	15
10074	1	20084	0	1|1	15
10075	1	20084	0	1|1	15
10076	1	20084	0	1|1	15
10077	1	20084	0	1|1	15
10078	1	20084	0	1|1	15
10079	1	20084	0	1|1	15
10080	1	20084	0	1|1	15
10081	1	20084	0	1|1	15
10082	1	20084	0	1|1	15
10083	1	20084	0	1|1	15
10084	1	20084	0	1|1	15
10085	1	20084	0	1|1	15
10086	1	20084	0	1|1	15
10087	1	20084	0	1|1	15
10088	1	20084	0	1|1	15
10089	1	20084	0	1|1	15
10090	1	20084	0	1|1	15
10091	1	20084	0	1|1	15
10092	1	20084	0	1|1	15
10093	1	20084	0	1|1	15
10094	1	20084	0	1|1	15
10095	1	20084	0	1|1	15
10096	1	20084	0	1|1	15
10097	1	20084	0	1|1	15
10098	1	20084	0	1|1	15
10099	1	20084	0	1|1	15
10100	1	20084	0	1|1	15
10101	1	20084	0	1|1	15
10102	1	20084	0	1|1	15
10103	1	20084	0	1|1	15
10104	1	20084	0	1|1	15
10105	1	20084	0	1|1	15
10106	1	20084	0	1|1	15
10240	1	20084	0	1|1	15
10241	1	20084	0	1|1	15
10242	1	20084	0	1|1	15
10243	1	20084	0	1|1	15
10244	1	20084	0	1|1	15
10245	1	20084	0	1|1	15
10246	1	20084	0	1|1	15
10247	1	20084	0	1|1	15
10248	1	20084	0	1|1	15
10249	1	20084	0	1|1	15
10250	1	20084	0	1|1	15
10251	1	20084	0	1|1	15
10252	1	20084	0	1|1	15
10253	1	20084	0	1|1	15
10254	1	20084	0	1|1	15
10255	1	20084	0	1|1	15
10256	1	20084	0	1|1	15
10257	1	20084	0	1|1	15
10258	1	20084	0	1|1	15
10259	1	20084	0	1|1	15
10260	1	20084	0	1|1	15
10261	1	20084	0	1|1	15
10262	1	20084	0	1|1	15
10263	1	20084	0	1|1	15
10264	1	20084	0	1|1	15
10265	1	20084	0	1|1	15
10266	1	20084	0	1|1	15
10267	1	20084	0	1|1	15
10268	1	20084	0	1|1	15
10269	1	20084	0	1|1	15
10270	1	20084	0	1|1	15
10271	1	20084	0	1|1	15
10272	1	20084	0	1|1	15
10273	1	20084	0	1|1	15
10274	1	20084	0	1|1	15
10275	1	20084	0	1|1	15
10276	1	20084	0	1|1	15
10277	1	20084	0	1|1	15
10278	1	20084	0	1|1	15
