注灵等级	消耗点数	生命值	攻击力	护甲值	攻速	暴击率	CD缩减	物理吸血	攻击距离	溅射	格挡几率
1	0	0	0	0	0	0	0	0	0	0	0
2	1	10	10	10	10	50	10	2.5	10	450|10	50
3	2	20	20	20	20	100	20	5	20	450|20	100
4	3	30	30	30	30	150	30	7.5	30	450|30	150
5	5	40	40	40	40	200	40	10	40	450|40	200
6	10	50	50	50	50	250	50	12.5	50	450|50	250
7	15	60	60	60	60	300	60	15	60	450|60	300
8	20	70	70	70	70	350	70	17.5	70	450|70	350
9	25	80	80	80	80	400	80	20	80	450|80	400
10	30	90	90	90	90	450	90	22.5	90	450|90	450
11	35	100	100	100	100	500	100	25	100	450|100	500
12	40	110	110	110	110	550	110	27.5	110	450|110	550
13	45	120	120	120	120	600	120	30	120	450|120	600
14	50	130	130	130	130	650	130	32.5	130	450|130	650
15	55	140	140	140	140	700	140	35	140	450|140	700
16	60	150	150	150	150	750	150	37.5	150	450|150	750
17	65	160	160	160	160	800	160	40	160	450|160	800
18	70	170	170	170	170	850	170	42.5	170	450|170	850
19	75	180	180	180	180	900	180	45	180	450|180	900
20	80	190	190	190	190	950	190	47.5	190	450|190	950
21	85	200	200	200	200	1000	200	50	200	450|200	1000
22	90	210	210	210	210	1050	210	52.5	210	450|210	1050
23	95	220	220	220	220	1100	220	55	220	450|220	1100
24	100	230	230	230	230	1150	230	57.5	230	450|230	1150
25	105	240	240	240	240	1200	240	60	240	450|240	1200
26	110	250	250	250	250	1250	250	62.5	250	450|250	1250
27	115	260	260	260	260	1300	260	65	260	450|260	1300
28	120	270	270	270	270	1350	270	67.5	270	450|270	1350
29	125	280	280	280	280	1400	280	70	280	450|280	1400
30	130	290	290	290	290	1450	290	72.5	290	450|290	1450
31	135	300	300	300	300	1500	300	75	300	450|300	1500
32	140	310	310	310	310	1550	310	77.5	310	450|310	1550
33	145	320	320	320	320	1600	320	80	320	450|320	1600
34	150	330	330	330	330	1650	330	82.5	330	450|330	1650
35	155	340	340	340	340	1700	340	85	340	450|340	1700
36	160	350	350	350	350	1750	350	87.5	350	450|350	1750
37	165	360	360	360	360	1800	360	90	360	450|360	1800
38	170	370	370	370	370	1850	370	92.5	370	450|370	1850
39	175	380	380	380	380	1900	380	95	380	450|380	1900
40	180	390	390	390	390	1950	390	97.5	390	450|390	1950
41	185	400	400	400	400	2000	400	100	400	450|400	2000
42	190	410	410	410	410	2050	410	102.5	410	450|410	2050
43	195	420	420	420	420	2100	420	105	420	450|420	2100
44	200	430	430	430	430	2150	430	107.5	430	450|430	2150
