等级	等级系数	世界时间系数	元宝数	粮食基数	木材基数	铁矿基数	马匹基数	经验基数
first	0	0	0	10000	10000	10000	5000	1000
second	0	0	0	10500	10500	10500	5250	1050
third	0	0	0	11000	11000	11000	5500	1100
0	0	0	0					
1	6	1	0					
2	6	1	50					
3	6	1	100					
4	6	1	200					
5	6	1	300					
6	6	1	400					
7	6	1	500					
8	6	1	0					
9	6	1	0					
10	6	1	0					
11	6	1	0					
12	6	1	0					
13	6	1	0					
14	6	1	0					
15	6	1	0					
16	6	1	0					
17	6	1	0					
18	6.35	1	0					
19	6.36	1	0					
20	6.37	1	0					
21	6.38	1	0					
22	6.39	1	0					
23	6.4	1	0					
24	6.41	1	0					
25	6.42	1	0					
26	6.43	1	0					
27	6.44	1	0					
28	6.45	1	0					
29	6.46	1	0					
30	6.47	1	0					
31	6.48	1.25	0					
32	6.49	1.25	0					
33	6.5	1.25	0					
34	6.51	1.25	0					
35	6.62	1.25	0					
36	6.82	1.25	0					
37	7.02	1.25	0					
38	7.22	1.25	0					
39	7.42	1.25	0					
40	7.62	1.25	0					
41	7.82	1.5	0					
42	8.02	1.5	0					
43	8.22	1.5	0					
44	8.42	1.5	0					
45	8.62	1.5	0					
46	8.82	1.5	0					
47	9.02	1.5	0					
48	9.22	1.5	0					
49	9.42	1.5	0					
50	9.62	1.5	0					
51	9.82	1.75	0					
52	10.82	1.75	0					
53	11.82	1.75	0					
54	12.82	1.75	0					
55	13.82	1.75	0					
56	14.82	1.75	0					
57	15.82	1.75	0					
58	16.82	1.75	0					
59	17.82	1.75	0					
60	18.82	1.75	0					
61	19.82	2	0					
62	20.82	2	0					
63	21.82	2	0					
64	22.82	2	0					
65	23.82	2	0					
66	24.82	2	0					
67	25.82	2	0					
68	26.82	2	0					
69	27.82	2	0					
70	28.82	2	0					
71	29.82	2	0					
72	30.82	2	0					
73	31.82	2	0					
74	32.82	2	0					
75	33.82	2	0					
76	34.82	2	0					
77	35.82	2	0					
78	36.82	2	0					
79	37.82	2	0					
80	38.82	2	0					
81	0	2	0					
82	0	2	0					
83	0	2	0					
84	0	2	0					
85	0	2	0					
86	0	2	0					
87	0	2	0					
88	0	2	0					
89	0	2	0					
90	0	2	0					
91	0	2	0					
92	0	2	0					
93	0	2	0					
94	0	2	0					
95	0	2	0					
96	0	2	0					
97	0	2	0					
98	0	2	0					
99	0	2	0					
100	0	2	0					
