level	Á¸Ê³	Ä¾²Ä	Ìú¿ó	ÂíÆ¥
1	604800	604800	604800	302400
2	614400	614400	614400	307200
3	624000	624000	624000	312000
4	633600	633600	633600	316800
5	643200	643200	643200	321600
6	652800	652800	652800	326400
7	662400	662400	662400	331200
8	672000	672000	672000	336000
9	681600	681600	681600	340800
10	691200	691200	691200	345600
11	700800	700800	700800	350400
12	710400	710400	710400	355200
13	720000	720000	720000	360000
14	729600	729600	729600	364800
15	739200	739200	739200	369600
16	748800	748800	748800	374400
17	758400	758400	758400	379200
18	768000	768000	768000	384000
19	787200	787200	787200	393600
20	806400	806400	806400	403200
21	825600	825600	825600	412800
22	844800	844800	844800	422400
23	864000	864000	864000	432000
24	883200	883200	883200	441600
25	902400	902400	902400	451200
26	921600	921600	921600	460800
27	940800	940800	940800	470400
28	960000	960000	960000	480000
29	979200	979200	979200	489600
30	998400	998400	998400	499200
31	1017600	1017600	1017600	508800
32	1036800	1036800	1036800	518400
33	1056000	1056000	1056000	528000
34	1075200	1075200	1075200	537600
35	1094400	1094400	1094400	547200
36	1113600	1113600	1113600	556800
37	1132800	1132800	1132800	566400
38	1152000	1152000	1152000	576000
39	1171200	1171200	1171200	585600
40	1190400	1190400	1190400	595200
41	1209600	1209600	1209600	604800
42	1228800	1228800	1228800	614400
43	1248000	1248000	1248000	624000
44	1267200	1267200	1267200	633600
45	1286400	1286400	1286400	643200
46	1324800	1324800	1324800	662400
47	1363200	1363200	1363200	681600
48	1401600	1401600	1401600	700800
49	1440000	1440000	1440000	720000
50	1478400	1478400	1478400	739200
51	1536000	1536000	1536000	768000
52	1593600	1593600	1593600	796800
53	1651200	1651200	1651200	825600
54	1708800	1708800	1708800	854400
55	1766400	1766400	1766400	883200
56	1824000	1824000	1824000	912000
57	1881600	1881600	1881600	940800
58	1939200	1939200	1939200	969600
59	1996800	1996800	1996800	998400
60	2054400	2054400	2054400	1027200
61	2150400	2150400	2150400	1075200
62	2246400	2246400	2246400	1123200
63	2342400	2342400	2342400	1171200
64	2438400	2438400	2438400	1219200
65	2534400	2534400	2534400	1267200
66	2630400	2630400	2630400	1315200
67	2726400	2726400	2726400	1363200
68	2822400	2822400	2822400	1411200
69	2918400	2918400	2918400	1459200
70	3014400	3014400	3014400	1507200
71	3206400	3206400	3206400	1603200
72	3398400	3398400	3398400	1699200
73	3590400	3590400	3590400	1795200
74	3782400	3782400	3782400	1891200
75	3974400	3974400	3974400	1987200
76	4166400	4166400	4166400	2083200
77	4358400	4358400	4358400	2179200
78	4550400	4550400	4550400	2275200
79	4742400	4742400	4742400	2371200
80	4934400	4934400	4934400	2467200
