id	类型	数量	等级	商店价格	name	购买次数	成就条件
0	10	7524|0|1	50	500	装备轮回符	1	
1	10	7524|0|1	60	1000	装备轮回符	1	
2	10	7524|0|1	70	1500	装备轮回符	1	
3	10	7524|0|1	80	2000	装备轮回符	1	
4	10	7524|0|1	80	2500	装备轮回符	1	
5	10	7525|0|1	50	100	将卡轮回符	1	511
6	10	7525|0|1	60	100	将卡轮回符	1	193
7	10	7525|0|1	70	100	将卡轮回符	1	404
8	10	7525|0|1	80	100	将卡轮回符	1	507
9	10	7525|0|1	80	100	将卡轮回符	1	518
10	10	7525|0|1	80	100	将卡轮回符	1	240
11	10	7525|0|1	80	100	将卡轮回符	1	1512
12	10	6054|0|1	80	200	六级八卦石宝箱	1	217
13	10	6164|0|1	80	300	四星将卡材料包	1	405
14	10	6146|0|1	75	200	三星将卡材料包	1	400
15	10	6146|0|1	75	200	三星将卡材料包	1	401
16	10	6146|0|1	75	200	三星将卡材料包	1	402
17	10	7523|0|1	20	30	军团令	0	
18	10	6074|0|1	80	100	高级八卦石宝箱	0	205
