index	国家贡献	经验	功勋	物品	备注
0	2000	1000	100		胜利普通奖励
100	0	0	0		失败普通奖励
1	5000	0	500		胜利第1名叠加
2	4000	0	300		胜利第2名叠加
3	3000	0	200		胜利第3名叠加
4	2000	0	100		胜利第4名叠加
5	2000	0	100		胜利第5名叠加
6	2000	0	100		胜利第6名叠加
7	2000	0	100		胜利第7名叠加
8	2000	0	100		胜利第8名叠加
9	2000	0	100		胜利第9名叠加
10	2000	0	100		胜利第10名叠加
11	1000	0	50		胜利第11名叠加
12	1000	0	50		胜利第12名叠加
13	1000	0	50		胜利第13名叠加
14	1000	0	50		胜利第14名叠加
15	1000	0	50		胜利第15名叠加
16	1000	0	50		胜利第16名叠加
17	1000	0	50		胜利第17名叠加
18	1000	0	50		胜利第18名叠加
19	1000	0	50		胜利第19名叠加
20	1000	0	50		胜利第20名叠加
21	500	0	20		胜利第20名以后叠加
101	1000	0	0		失败第一名
102	800	0	0		
103	500	0	0		
104	300	0	0		
105	300	0	0		
106	300	0	0		
107	300	0	0		
108	300	0	0		
109	300	0	0		
110	300	0	0		
111	100	0	0		
112	100	0	0		
113	100	0	0		
114	100	0	0		
115	100	0	0		
116	100	0	0		
117	100	0	0		
118	100	0	0		
119	100	0	0		
120	100	0	0		失败第二十名
121	50	0	0		失败20名以后
