level	´óÌü	ÑÅ¼ä	ÖÁ×ð								
1	99396|600|3|1|0	0|20|42|35|3	0|0|0|70|30								
2	99092|900|6|2|0	0|20|42|35|3	0|0|0|70|30								
3	98788|1200|9|3|0	0|20|42|35|3	0|0|0|70|30								
4	98484|1500|12|4|0	0|20|42|35|3	0|0|0|70|30								
5	98180|1800|15|5|0	0|20|42|35|3	0|0|0|70|30								
6	97876|2100|18|6|0	0|20|42|35|3	0|0|0|70|30								
7	97572|2400|21|7|0	0|20|42|35|3	0|0|0|70|30								
8	97268|2700|24|8|0	0|20|42|35|3	0|0|0|70|30								
9	96964|3000|27|9|0	0|20|42|35|3	0|0|0|70|30								
10	96660|3300|30|10|0	0|20|42|35|3	0|0|0|70|30								
11	96356|3600|33|11|0	0|20|42|35|3	0|0|0|70|30								
12	96052|3900|36|12|0	0|20|42|35|3	0|0|0|70|30								
13	95748|4200|39|13|0	0|20|42|35|3	0|0|0|70|30								 
14	95444|4500|42|14|0	0|20|42|35|3	0|0|0|70|30								
15	95140|4800|45|15|0	0|20|42|35|3	0|0|0|70|30								
16	94836|5100|48|16|0	0|20|42|35|3	0|0|0|70|30								
17	94532|5400|51|17|0	0|20|42|35|3	0|0|0|70|30								
18	94228|5700|54|18|0	0|20|42|35|3	0|0|0|70|30								
19	93924|6000|57|19|0	0|20|42|35|3	0|0|0|70|30								
20	93620|6300|60|20|0	0|20|42|35|3	0|0|0|70|30								
21	93316|6600|63|21|0	0|20|42|35|3	0|0|0|70|30								
22	93012|6900|66|22|0	0|20|42|35|3	0|0|0|70|30								
23	92708|7200|69|23|0	0|20|42|35|3	0|0|0|70|30								
24	92404|7500|72|24|0	0|20|42|35|3	0|0|0|70|30								
25	92100|7800|75|25|0	0|20|42|35|3	0|0|0|70|30								
26	91796|8100|78|26|0	0|20|42|35|3	0|0|0|70|30								
27	91492|8400|81|27|0	0|20|42|35|3	0|0|0|70|30								
28	91188|8700|84|28|0	0|20|42|35|3	0|0|0|70|30								
29	90884|9000|87|29|0	0|20|42|35|3	0|0|0|70|30								
30	90580|9300|90|30|0	0|20|42|35|3	0|0|0|70|30								
31	90276|9600|93|31|0	0|20|42|35|3	0|0|0|70|30								
32	89972|9900|96|32|0	0|20|42|35|3	0|0|0|70|30								
33	89668|10200|99|33|0	0|20|42|35|3	0|0|0|70|30								
34	89364|10500|102|34|0	0|20|42|35|3	0|0|0|70|30								
35	89060|10800|105|35|0	0|20|42|35|3	0|0|0|70|30								
36	88756|11100|108|36|0	0|20|42|35|3	0|0|0|70|30								
37	88452|11400|111|37|0	0|20|42|35|3	0|0|0|70|30								
38	88148|11700|114|38|0	0|20|42|35|3	0|0|0|70|30								
39	87844|12000|117|39|0	0|20|42|35|3	0|0|0|70|30								
40	87540|12300|120|40|0	0|20|42|35|3	0|0|0|70|30								
41	87236|12600|123|41|0	0|20|42|35|3	0|0|0|70|30								
42	86932|12900|126|42|0	0|20|42|35|3	0|0|0|70|30								
43	86628|13200|129|43|0	0|20|42|35|3	0|0|0|70|30								
44	86324|13500|132|44|0	0|20|42|35|3	0|0|0|70|30								
45	86020|13800|135|45|0	0|20|42|35|3	0|0|0|70|30								
46	85716|14100|138|46|0	0|20|42|35|3	0|0|0|70|30								
47	85412|14400|141|47|0	0|20|42|35|3	0|0|0|70|30								
48	85108|14700|144|48|0	0|20|42|35|3	0|0|0|70|30								
49	84804|15000|147|49|0	0|20|42|35|3	0|0|0|70|30								
50	84500|15300|150|50|0	0|20|42|35|3	0|0|0|70|30								
51	84196|15600|153|51|0	0|20|42|35|3	0|0|0|70|30								
52	83892|15900|156|52|0	0|20|42|35|3	0|0|0|70|30								
53	83588|16200|159|53|0	0|20|42|35|3	0|0|0|70|30								
54	83284|16500|162|54|0	0|20|42|35|3	0|0|0|70|30								
55	82980|16800|165|55|0	0|20|42|35|3	0|0|0|70|30								
56	82676|17100|168|56|0	0|20|42|35|3	0|0|0|70|30								
57	82372|17400|171|57|0	0|20|42|35|3	0|0|0|70|30								
58	82068|17700|174|58|0	0|20|42|35|3	0|0|0|70|30								
59	81764|18000|177|59|0	0|20|42|35|3	0|0|0|70|30								
60	81460|18300|180|60|0	0|20|42|35|3	0|0|0|70|30								
61	81156|18600|183|61|0	0|20|42|35|3	0|0|0|70|30								
62	80852|18900|186|62|0	0|20|42|35|3	0|0|0|70|30								
63	80548|19200|189|63|0	0|20|42|35|3	0|0|0|70|30								
64	80244|19500|192|64|0	0|20|42|35|3	0|0|0|70|30								
65	79940|19800|195|65|0	0|20|42|35|3	0|0|0|70|30								
66	79636|20100|198|66|0	0|20|42|35|3	0|0|0|70|30								
67	79332|20400|201|67|0	0|20|42|35|3	0|0|0|70|30								
68	79028|20700|204|68|0	0|20|42|35|3	0|0|0|70|30								
69	78724|21000|207|69|0	0|20|42|35|3	0|0|0|70|30								
70	78420|21300|210|70|0	0|20|42|35|3	0|0|0|70|30								
71	78116|21600|213|71|0	0|20|42|35|3	0|0|0|70|30								
