id	govpost	领导力	icon	功勋	排名	民居	农田	牧场	林地	矿山	军团存兵上限	军团取兵上限
1	孝廉	1000	T_touxiang1.img	0	0	3	3	2	2	2	0	1000
2	门下督	1100	T_touxiang2.img	100	0	4	4	2	2	2	0	1200
3	武卫校尉	1300	T_touxiang3.img	300	0	5	5	3	3	3	0	1400
4	裨将军	1600	T_touxiang4.img	1000	0	6	6	3	3	3	0	1600
5	牙门将军	2000	T_touxiang5.img	3000	0	7	7	3	3	3	0	1800
6	偏将军	2500	T_touxiang6.img	5000	0	8	8	4	4	4	0	2000
7	别部司马	3100	T_touxiang7.img	7000	0	8	8	4	4	4	0	2200
8	监军	3800	T_touxiang8.img	10000	0	8	8	4	4	4	0	2400
9	荡寇将军	4600	T_touxiang9.img	20000	0	8	8	4	4	4	0	2600
10	虎贲中郎将	5500	T_touxiang10.img	30000	0	8	8	4	4	4	0	2800
11	护军将军	6500	T_touxiang11.img	50000	0	8	8	4	4	4	0	3000
12	征虏将军	7600	T_touxiang12.img	80000	0	8	8	4	4	4	0	3200
13	平东将军	8800	T_touxiang13.img	120000	0	8	8	4	4	4	0	3400
14	安东将军	10100	T_touxiang14.img	170000	0	8	8	4	4	4	0	3600
15	镇东将军	11500	T_touxiang15.img	230000	0	8	8	4	4	4	0	3800
16	都督	13000	T_touxiang16.img	300000	0	8	8	4	4	4	5000	4000
17	前将军	14600	T_touxiang17.img	420000	0	8	8	4	4	4	6000	4200
18	征东将军	16300	T_touxiang18.img	550000	0	8	8	4	4	4	7000	4400
19	卫将军	18100	T_touxiang19.img	890000	5	8	8	4	4	4	8000	4600
20	车骑将军	20000	T_touxiang20.img	1440000	4	8	8	4	4	4	9000	4800
21	骠骑将军	22000	T_touxiang21.img	2330000	3	8	8	4	4	4	10000	5000
22	太尉	24000	T_touxiang22.img	5800000	2	8	8	4	4	4	11000	5500
23	宇宙大将军	26000	T_touxiang23.img	11600000	1	8	8	4	4	4	12000	6000
