lv	经验	兵法	阵法	洞察	统率	民居	农田	牧场	林地	矿山	酒肆	市集	工坊
1	0	0	0	0	0	1	1	1	1	1	0	0	0
2	100	32	22	22	17	1	1	1	1	1	0	0	1
3	600	34	24	24	19	1	1	1	1	1	1	0	1
4	1500	36	26	26	21	1	1	1	1	1	1	0	1
5	2800	38	28	28	23	1	1	1	1	1	1	0	1
6	4500	40	30	30	25	1	1	1	1	1	1	0	1
7	6600	42	32	32	27	1	1	1	1	1	1	0	1
8	9100	44	34	34	29	1	1	1	1	1	1	0	1
9	12000	46	36	36	31	1	1	1	1	1	1	0	1
10	15300	48	38	38	33	1	1	1	1	1	1	0	1
11	19000	50	40	40	35	1	1	1	1	1	1	0	1
12	23100	52	42	42	37	1	1	1	1	1	1	0	1
13	27600	54	44	44	39	1	1	1	1	1	1	0	1
14	32500	56	46	46	41	1	1	1	1	1	1	0	1
15	37800	58	48	48	43	1	1	1	1	1	1	0	1
16	43500	60	50	50	45	1	1	1	1	1	1	0	1
17	49600	62	52	52	47	2	2	1	1	1	1	0	1
18	56100	64	54	54	49	3	3	2	2	2	1	0	1
19	71100	66	56	56	51	3	3	2	2	2	1	0	1
20	86600	68	58	58	53	4	4	2	2	2	1	0	1
21	102600	70	60	60	55	4	4	2	2	2	1	0	1
22	119100	72	62	62	57	4	4	2	2	2	1	0	1
23	136100	74	64	64	59	4	4	2	2	2	1	0	1
24	153600	76	66	66	61	4	4	2	2	2	1	0	1
25	171600	78	68	68	63	4	4	2	2	2	1	0	1
26	190100	80	70	70	65	4	4	2	2	2	1	0	1
27	209100	82	72	72	67	4	4	2	2	2	1	0	1
28	228600	84	74	74	69	4	4	2	2	2	1	0	1
29	248600	86	76	76	71	4	4	2	2	2	1	0	1
30	269100	88	78	78	73	4	4	2	2	2	1	0	1
31	290100	90	80	80	75	4	4	2	2	2	1	0	1
32	311600	92	82	82	77	4	4	2	2	2	1	1	1
33	333600	94	84	84	79	4	4	2	2	2	1	1	1
34	356100	96	86	86	81	4	4	2	2	2	1	1	1
35	379100	98	88	88	83	4	4	2	2	2	1	1	1
36	415100	100	90	90	85	4	4	2	2	2	1	1	1
37	452100	102	92	92	87	4	4	2	2	2	1	1	1
38	490100	104	94	94	89	4	4	2	2	2	1	1	1
39	529100	106	96	96	91	4	4	2	2	2	1	1	1
40	569100	108	98	98	93	4	4	2	2	2	1	1	1
41	610100	110	100	100	95	4	4	2	2	2	1	1	1
42	652100	112	102	102	97	4	4	2	2	2	1	1	1
43	695100	114	104	104	99	4	4	2	2	2	1	1	1
44	739100	116	106	106	101	4	4	2	2	2	1	1	1
45	784100	118	108	108	103	4	4	2	2	2	1	1	1
46	879100	120	110	110	105	4	4	2	2	2	1	1	1
47	974600	122	112	112	107	4	4	2	2	2	1	1	1
48	1070600	124	114	114	109	4	4	2	2	2	1	1	1
49	1167100	126	116	116	111	4	4	2	2	2	1	1	1
50	1264100	128	118	118	113	4	4	2	2	2	1	1	1
51	1364100	130	120	120	115	4	4	2	2	2	1	1	1
52	1474100	132	122	122	117	4	4	2	2	2	1	1	1
53	1594100	134	124	124	119	4	4	2	2	2	1	1	1
54	1724100	136	126	126	121	4	4	2	2	2	1	1	1
55	1864100	138	128	128	123	4	4	2	2	2	1	1	1
56	2084100	140	130	130	125	4	4	2	2	2	1	1	1
57	2314100	142	132	132	127	4	4	2	2	2	1	1	1
58	2564100	144	134	134	129	4	4	2	2	2	1	1	1
59	2824100	146	136	136	131	4	4	2	2	2	1	1	1
60	3094100	148	138	138	133	4	4	2	2	2	1	1	1
61	3374100	150	140	140	135	4	4	2	2	2	1	1	1
62	3664100	152	142	142	137	4	4	2	2	2	1	1	1
63	3964100	154	144	144	139	4	4	2	2	2	1	1	1
64	4274100	156	146	146	141	4	4	2	2	2	1	1	1
65	4724100	158	148	148	143	4	4	2	2	2	1	1	1
66	5274100	160	150	150	145	4	4	2	2	2	1	1	1
67	5824100	162	152	152	147	4	4	2	2	2	1	1	1
68	6379100	164	154	154	149	4	4	2	2	2	1	1	1
69	6969100	166	156	156	151	4	4	2	2	2	1	1	1
70	7579100	168	158	158	153	4	4	2	2	2	1	1	1
71	8766600	170	160	160	155	4	4	2	2	2	1	1	1
72	10016600	172	162	162	157	4	4	2	2	2	1	1	1
73	11329100	174	164	164	159	4	4	2	2	2	1	1	1
74	12704100	176	166	166	161	4	4	2	2	2	1	1	1
75	14129100	178	168	168	163	4	4	2	2	2	1	1	1
76	15869100	180	170	170	165	4	4	2	2	2	1	1	1
77	17969100	182	172	172	167	4	4	2	2	2	1	1	1
78	20469100	184	174	174	169	4	4	2	2	2	1	1	1
79	23506600	186	176	176	171	4	4	2	2	2	1	1	1
80	29756600	190	180	180	175	4	4	2	2	2	1	1	1
