id	名字	接壤1	接壤2	接壤3	接壤4	类型	默认势力	sceneid	时间	玩家数量	出生点数	开启人数	进场时间	郡名	收益类型	收益数量	特产类型	特产数量	buttonname	cityname	colormask	map	bordername	坐标	规模	colorsw	城防值	城池mask	城池等级	建国后等级	城池等级系数	平叛消耗军令	平叛铜钱奖励	平叛掉落id	叛乱兵种icon	攻方胜利条件	守方胜利条件	行政长官	称谓	说明	州ID	州名称	地形
1001	不耐	1002	1003			1	2	30001	1800	40	"0,1"	2	1620	临屯郡	5	42000	1	300000	MedianCity_Bunai	LocalName_BuNai	CM_Bunai	UI_GK_Yongan.img	Border_Bunai		0	TiaoMu_Bunai	100	sw_Area_Bunai	10|10|8|8	10|10|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	徐勋	太守	    公元前109年，西汉武帝刘彻出兵灭卫氏朝鲜。第二年，依照其领地大小设置临屯郡，郡治不耐。此地为是大汉朝最东侧的郡城，民风朴素，夜不闭户。	1017	平州	山地
1002	乐浪	1001	1003	1005		1	2	30002	1800	40	"0,1"	2	1620	乐浪郡	5	42000	2	300000	MedianCity_Lelang	LocalName_LeLang	CM_Lelang	UI_GK_Beiping.img	Border_Lelang		1	TiaoMu_Lelang	200	sw_Area_Lelang	10|10|8|8	10|10|9|9	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	张歧	太守	    公元前108年，在卫氏朝鲜灭亡后，武帝在其都城左右设乐浪郡，郡城为原卫氏朝鲜都城乐浪。其位于大同江边，地势开阔，是朝鲜半岛的交通枢纽。	1017	平州	城郭
1003	带方	1001	1002	1004		1	2	30003	1800	40	"0,1"	2	1620	带方郡	5	39000	3	300000	MedianCity_Daifang	LocalName_DaiFang	CM_Daifang	UI_GK_Anding.img	Border_Daifang		1	TiaoMu_Daifang	200	sw_Area_Daifang	11|11|7|11	11|11|9|11	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	王摩	太守	    公元204年，襄平侯公孙康将乐浪郡一分为二，其中一部分设为带方郡。带方郡位于朝鲜半岛的最南端，风景秀丽，物产丰富，渔业发达，税收丰厚。	1017	平州	山地
1004	海冥	1003	5008			0	2	40001	1800	40	"0,1"	1	1620	带方郡	5	25000	4	150000	MedianCity_Haiming	LocalName_HaiMing	CM_Haiming	UI_GK_Ruxuwu.img	Border_Haiming		3	TiaoMu_Haiming	100	sw_Area_Haiming	11|11|9|11	11|11|9|11	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	辛明	都尉	    海冥港位于带方郡的最南端，虽然鱼类丰富，但风暴频发。坊间传闻渔人出海，被暴风吹至徐州盐渎，想来不是空穴来风，如果航海技术足够，不妨一试。	1017	平州	水域
1005	安平	1002	1006			1	2	30004	1800	40	"0,1"	2	1620	辽东郡	5	45000	1	300000	MedianCity_Anping	LocalName_AnPing	CM_Anping	UI_GK_Ji.img	Border_Anping		0	TiaoMu_Anping	100	sw_Area_Anping	10|10|8|8	10|10|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	公孙康	相	    公元122年，东汉安帝将此地封为安平国，其地沟通东西，位置险要，不容有失。曾经被东汉灵帝称其为母的十常侍之一赵忠，便是出生在这里。	1017	平州	山地
1006	襄平	1005	1011	1012	1007	1	2	30005	1800	40	"0,1"	2	1620	辽东郡	5	48000	8	100	MedianCity_Xiangping	LocalName_XiangPing	CM_Xiangping	UI_GK_Xiangping.img	Border_Xiangping		1	TiaoMu_Xiangping	200	sw_Area_Xiangping	9|9|9|9	9|9|9|9	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	公孙度	太守	    公元前284年开始，燕将秦开耗时五年，击退东胡千余里，所得其地设为辽东郡，郡治襄平，三国时期兼东夷校尉治所。辽东太守公孙度的家乡也是这里。	1017	平州	平原
1007	安市	1006	1008	1012		1	2	30006	1800	40	"0,1"	2	1620	辽东郡	5	51000	4	150000	MedianCity_Anshi	LocalName_AnShi	CM_Anshi	UI_GK_Puyang.img	Border_Anshi		0	TiaoMu_Anshi	100	sw_Area_Anshi	9|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	公孙修	令	    安市位于襄平的西南，辽河下游之左岸，紧守襄平通往昌黎与平郭的道路，位置紧要，地势狭窄，乃是一处南北通衢所在，万万不容有失之处。	1017	平州	城郭
1008	平郭	1007	1009			1	2	30007	1800	40	"0,1"	2	1620	辽东郡	5	51000	8	100	MedianCity_Pingguo	LocalName_PingGuo	CM_Pingguo	UI_GK_Beiping.img	Border_Pingguo		0	TiaoMu_Pingguo	100	sw_Area_Pingguo	9|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	公孙恭	令	    公元前195年，汉高帝于安市南数十里处设平郭县，隶属辽东郡。平郭县借南北贸易之便，外加地势平坦，气候适宜，几经发展，俨然成为辽东第二重镇。	1017	平州	城郭
1009	北丰	1008	1010			1	2	30008	1800	40	"0,1"	2	1620	辽东郡	5	51000	8	100	MedianCity_Beifeng	LocalName_BeiFeng	CM_Beifeng	UI_GK_Kuaiji.img	Border_Beifeng		0	TiaoMu_Beifeng	100	sw_Area_Beifeng	9|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	公孙渊	令	    公元239年，魏国把平郭县南部数十里的几个县城，统和为北丰县。北丰县地处辽东半岛南部，是整个半岛最温暖的地方，地势开阔，适宜耕种生活。	1017	平州	水域
1010	东沓	1009				1	2	30009	1800	40	"0,1"	2	1620	辽东郡	5	51000	8	100	MedianCity_Dongta	LocalName_DongTa	CM_Dongta	UI_GK_Dongta.img	Border_Dongta		0	TiaoMu_Dongta	100	sw_Area_Dongta	9|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	卑衍	令	    公元239年，北国战乱不休，大量百姓南迁，魏王曹操于此设东沓县。东沓位于辽东半岛最南端，突出海岸，北有北丰为门户，三面环海，诚为世外桃源。	1017	平州	城郭
1011	玄菟	1006	1012			1	2	30010	1800	40	"0,1"	2	1620	玄菟郡	5	51000	4	200000	MedianCity_Xuantu	LocalName_XuanTu	CM_Xuantu	UI_GK_Beiping.img	Border_Xuantu		1	TiaoMu_Xuantu	200	sw_Area_Xuantu	9|9|9|9	9|9|9|9	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	耿临	太守	    公元前108年，武帝攻灭卫氏朝鲜。后来在其原国土位置立四大郡。玄菟郡便是其中最大的一部分，后来几经重组分割，成为如今逼仄狭小的模样。	1017	平州	城郭
1012	昌黎	1006	1007	1011	1013	1	2	30011	1800	40	"0,1"	2	1620	昌黎郡	5	48000	4	200000	MedianCity_Changli	LocalName_ChangLi	CM_Changli	UI_GK_Beiping.img	Border_Changli		1	TiaoMu_Changli	200	sw_Area_Changli	9|9|9|9	9|9|9|9	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	步度根	太守	    昌黎原为辽东属国，三国时期被改为昌黎郡，郡治昌黎县。昌黎郡紧贴辽东半岛，是由幽州进入辽东的必经之路，人流涌动，贸易兴旺，四通八达。	1017	平州	城郭
1013	柳城	1012	2001			0	2	40002	1800	40	"0,1"	1	1620	昌黎郡	5	25000	1	200000	MedianCity_Liucheng	LocalName_LiuCheng	CM_Liucheng	UI_GK_Yijing.img	Border_Liucheng		3	TiaoMu_Liucheng	100	sw_Area_Liucheng	9|9|9|9	9|9|9|9	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	焦触	都尉	    西汉时设置的柳城，乃是昌黎郡的西门户，其曾经作为西部都尉治所，后来被乌桓霸占。建安十二年，曹操亲征乌桓，曾经在这里大破蹋顿，收复柳城。	1017	平州	城郭
2001	辽西	2002	2003	1013		1	2	30012	1800	40	"0,1"	2	1620	辽西郡	5	45000	2	200000	MedianCity_Liaoxi	LocalName_LiaoXi	CM_Liaoxi	UI_GK_Nanpi.img	Border_Liaoxi		1	TiaoMu_Liaoxi	200	sw_Area_Liaoxi	8|10|10|10	9|10|10|10	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	赵苞	太守	    辽西郡为战国时期就已经设置的燕国古郡，历史悠久，城墙高耸，地势平坦，紧守东西，同时连接北平、蓟与柳城，是中原通往辽东的最后一站。	1007	幽州	平原
2002	北平	2003	2001			1	2	30013	1800	40	"0,1"	2	1620	右北平郡	5	45000	3	200000	MedianCity_Beiping	LocalName_BeiPing	CM_Beiping	UI_GK_Beiping.img	Border_Beiping		1	TiaoMu_Beiping	200	sw_Area_Beiping	8|10|10|10	9|10|10|10	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	公孙瓒	太守	    战国时北平作为燕国辖地，曾经是抵御匈奴的重镇。秦朝统一后在这里设立了右北平郡，汉代时飞将军李广曾经驻守此处，等候击败匈奴的时机。	1007	幽州	城郭
