itemid	名字	攻速	CD缩减	移动速度	护甲值	法术抗性	格挡几率	攻击力	生命值	暴击率	闪避率	攻城攻击力	攻击距离	命中率	穿透	法术穿透	潜行	反潜行	视野	无视闪避	反弹物伤	反弹法伤	物理吸血	法术吸血	暴击剑	溅射	物伤加深	法伤加深	abstractid	物伤加成	法伤加成	回复效果
8250	臧霸										20																					
8251	臧霸										40																					
8252	臧霸										60																					
8253	臧霸										80																					
8254	臧霸										100																					
8255	臧霸										120																					
8256	臧霸										140																					
8257	臧霸										160																					
8258	臧霸										180																					
8259	臧霸										200																					
8340	曹冲										20																					
8341	曹冲										40																					
8342	曹冲										60																					
8343	曹冲										80																					
8344	曹冲										100																					
8345	曹冲										120																					
8346	曹冲										140																					
8347	曹冲										160																					
8348	曹冲										180																					
8349	曹冲										200																					
8470	贾充																					20										
8471	贾充																					40										
8472	贾充																					60										
8473	贾充																					80										
8474	贾充																					100										
8475	贾充																					120										
8476	贾充																					140										
8477	贾充																					160										
8478	贾充																					180										
8479	贾充																					200										
8490	蔡文姬							10																								
8491	蔡文姬							20																								
8492	蔡文姬							30																								
8493	蔡文姬							40																								
8494	蔡文姬							50																								
8495	蔡文姬							70																								
8496	蔡文姬							90																								
8497	蔡文姬							110																								
8498	蔡文姬							150																								
8499	蔡文姬							250																								
8202	邓艾																100															
8203	邓艾																150															
8204	邓艾																200															
8205	邓艾																250															
8206	邓艾																300															
8207	邓艾																350															
8208	邓艾																400															
8209	邓艾																450															
8294	贾诩																												31022			
8295	贾诩																												31023			
8296	贾诩																												31024			
8297	贾诩																												31025			
8298	贾诩																												31026			
8299	贾诩																												31027			
8574	姜维																												31030			
8575	姜维																												31031			
8576	姜维																												31032			
8577	姜维																												31033			
8578	姜维																												31034			
8579	姜维																												31035			
8655	严颜																												26154			
8656	严颜																												26154			
8657	严颜																												26154			
8658	严颜																												26154			
8659	严颜																												26154			
8840	蒋琬					20																										
8841	蒋琬					40																										
8842	蒋琬					60																										
8843	蒋琬					80																										
8844	蒋琬					100																										
8845	蒋琬					120																										
8846	蒋琬					140																										
8847	蒋琬					160																										
8848	蒋琬					180																										
8849	蒋琬					200																										
8850	费祎								20																							
8851	费祎								40																							
8852	费祎								60																							
8853	费祎								80																							
8854	费祎								100																							
8855	费祎								120																							
8856	费祎								140																							
8857	费祎								160																							
8858	费祎								180																							
8859	费祎								200																							
9620	周泰																												31040			
9621	周泰																												31041			
9622	周泰																												31042			
9623	周泰																												31043			
9624	周泰																												31044			
9625	周泰																												31045			
9626	周泰																												31046			
9627	周泰																												31047			
9628	周泰																												31048			
9629	周泰																												31049			
9940	吾粲		50																													
9941	吾粲		70																													
9942	吾粲		90																													
9943	吾粲		120																													
9944	吾粲		150																													
9945	吾粲		180																													
9946	吾粲		210																													
9947	吾粲		240																													
9948	吾粲		270																													
9949	吾粲		300																													
9540	孙皎							20																								
9541	孙皎							40																								
9542	孙皎							60																								
9543	孙皎							80																								
9544	孙皎							100																								
9545	孙皎							120																								
9546	孙皎							140																								
9547	孙皎							160																								
9548	孙皎							180																								
9549	孙皎							200																								
10025	高顺																												28014			
10026	高顺																												28014			
10027	高顺																												28014			
10028	高顺																												28014			
10029	高顺																												28014			
9725	沈莹																												31011			
9726	沈莹																												31012			
9727	沈莹																												31013			
9728	沈莹																												31014			
9729	沈莹																												31015			
9734	吕蒙																100															
9735	吕蒙																100															
9736	吕蒙																100															
9737	吕蒙																100															
9738	吕蒙																100															
9739	吕蒙																100															
8600	关平							10																								
8601	关平							20																								
8602	关平							30																								
8603	关平							40																								
8604	关平							50																								
8605	关平							60																								
8606	关平							70																								
8607	关平							80																								
8608	关平							90																								
8609	关平							100																								
10005	小乔		30																					100								
10006	小乔		60																					150								
10007	小乔		90																					200								
10008	小乔		120																					250								
10009	小乔		150																					300								
10310	潘凤	10																														
10311	潘凤	20																														
10312	潘凤	30																														
10313	潘凤	40																														
10314	潘凤	50																														
10315	潘凤	60																											31060			
10316	潘凤	70																											31061			
10317	潘凤	80																											31062			
10318	潘凤	90																											31063			
10319	潘凤	100																											31064			
8870	徐庶		10																													
8871	徐庶		20																													
8872	徐庶		30																													
8873	徐庶		40																													
8874	徐庶		50																													
8875	徐庶		60																													
8876	徐庶		70																													
8877	徐庶		80																													
8878	徐庶		90																													
8879	徐庶		100																													
10190	华雄							10																								
10191	华雄							20																								
10192	华雄							30																								
10193	华雄							40																								
10194	华雄							50																								
10195	华雄							60																					31070			
10196	华雄							70																					31071			
10197	华雄							80																					31072			
10198	华雄							90																					31073			
10199	华雄							100																					31074			
10320	华佗																															20
10321	华佗																															40
10322	华佗																															60
10323	华佗																															80
10324	华佗																															100
10325	华佗																															120
10326	华佗																															140
10327	华佗																															160
10328	华佗																															180
10329	华佗																															200
10170	童渊	10																														
10171	童渊	30																														
10172	童渊	50																														
10173	童渊	70																														
10174	童渊	90																														
10175	童渊	110																														
10176	童渊	130																														
10177	童渊	150																														
10178	童渊	170																														
10179	童渊	210																														
