lv	铜钱	type	加成	
0	0	0	0	铜雀台
1	19951	0	0.2	
2	576871	0	0.4	
3	1332691	0	0.6	
4	2188022	0	0.8	
5	3142742	0	1	
6	4157193	0	1.2	
7	5231253	0	1.4	
8	6365044	0	1.6	
9	7538615	0	1.8	
10	8751966	0	2	
11	10005097	0	2.2	
12	11298008	0	2.4	
13	12630699	0	2.6	
14	13983219	0	2.8	
15	15375519	0	3	
16	16787770	0	3.2	
17	18219850	0	3.4	
18	19691710	0	3.6	
19	21183521	0	3.8	
20	22695161	0	4	
21	24226752	0	4.2	
22	25778172	0	4.4	
23	27349543	0	4.6	
24	28920914	0	4.8	
25	30512114	0	5	
26	40000000	0	5.2	
27	50000000	0	5.4	
28	60000000	0	5.6	
29	70000000	0	5.8	
30	80000000	0	6	
31	90000000	0	6.2	
32	100000000	0	6.4	
33	110000000	0	6.6	
34	120000000	0	6.8	
35	130000000	0	7	
36	140000000	0	7.2	
37	150000000	0	7.4	
38	160000000	0	7.6	
39	170000000	0	7.8	
40	180000000	0	8	
0	0	1	0	漕运
1	19951	1	0.2	
2	576871	1	0.4	
3	1332691	1	0.6	
4	2188022	1	0.8	
5	3142742	1	1	
6	4157193	1	1.2	
7	5231253	1	1.4	
8	6365044	1	1.6	
9	7538615	1	1.8	
10	8751966	1	2	
11	10005097	1	2.2	
12	11298008	1	2.4	
13	12630699	1	2.6	
14	13983219	1	2.8	
15	15375519	1	3	
16	16787770	1	3.2	
17	18219850	1	3.4	
18	19691710	1	3.6	
19	21183521	1	3.8	
20	22695161	1	4	
21	24226752	1	4.2	
22	25778172	1	4.4	
23	27349543	1	4.6	
24	28920914	1	4.8	
25	30512114	1	5	
26	40000000	1	5.2	
27	50000000	1	5.4	
28	60000000	1	5.6	
29	70000000	1	5.8	
30	80000000	1	6	
31	90000000	1	6.2	
32	100000000	1	6.4	
33	110000000	1	6.6	
34	120000000	1	6.8	
35	130000000	1	7	
36	140000000	1	7.2	
37	150000000	1	7.4	
38	160000000	1	7.6	
39	170000000	1	7.8	
40	180000000	1	8	
0	0	2	0	司马监
1	19951	2	0.2	
2	576871	2	0.4	
3	1332691	2	0.6	
4	2188022	2	0.8	
5	3142742	2	1	
6	4157193	2	1.2	
7	5231253	2	1.4	
8	6365044	2	1.6	
9	7538615	2	1.8	
10	8751966	2	2	
11	10005097	2	2.2	
12	11298008	2	2.4	
13	12630699	2	2.6	
14	13983219	2	2.8	
15	15375519	2	3	
16	16787770	2	3.2	
17	18219850	2	3.4	
18	19691710	2	3.6	
19	21183521	2	3.8	
20	22695161	2	4	
21	24226752	2	4.2	
22	25778172	2	4.4	
23	27349543	2	4.6	
24	28920914	2	4.8	
25	30512114	2	5	
26	40000000	2	5.2	
27	50000000	2	5.4	
28	60000000	2	5.6	
29	70000000	2	5.8	
30	80000000	2	6	
31	90000000	2	6.2	
32	100000000	2	6.4	
33	110000000	2	6.6	
34	120000000	2	6.8	
35	130000000	2	7	
36	140000000	2	7.2	
37	150000000	2	7.4	
38	160000000	2	7.6	
39	170000000	2	7.8	
40	180000000	2	8	
0	0	3	0	上林苑
1	19951	3	0.2	
2	576871	3	0.4	
3	1332691	3	0.6	
4	2188022	3	0.8	
5	3142742	3	1	
6	4157193	3	1.2	
7	5231253	3	1.4	
8	6365044	3	1.6	
9	7538615	3	1.8	
10	8751966	3	2	
11	10005097	3	2.2	
12	11298008	3	2.4	
13	12630699	3	2.6	
14	13983219	3	2.8	
15	15375519	3	3	
16	16787770	3	3.2	
17	18219850	3	3.4	
18	19691710	3	3.6	
19	21183521	3	3.8	
20	22695161	3	4	
21	24226752	3	4.2	
22	25778172	3	4.4	
23	27349543	3	4.6	
24	28920914	3	4.8	
25	30512114	3	5	
26	40000000	3	5.2	
27	50000000	3	5.4	
28	60000000	3	5.6	
29	70000000	3	5.8	
30	80000000	3	6	
31	90000000	3	6.2	
32	100000000	3	6.4	
33	110000000	3	6.6	
34	120000000	3	6.8	
35	130000000	3	7	
36	140000000	3	7.2	
37	150000000	3	7.4	
38	160000000	3	7.6	
39	170000000	3	7.8	
40	180000000	3	8	
0	0	4	0	太庙
1	19951	4	0.2	
2	576871	4	0.4	
3	1332691	4	0.6	
4	2188022	4	0.8	
5	3142742	4	1	
6	4157193	4	1.2	
7	5231253	4	1.4	
8	6365044	4	1.6	
9	7538615	4	1.8	
10	8751966	4	2	
11	10005097	4	2.2	
12	11298008	4	2.4	
13	12630699	4	2.6	
14	13983219	4	2.8	
15	15375519	4	3	
16	16787770	4	3.2	
17	18219850	4	3.4	
18	19691710	4	3.6	
19	21183521	4	3.8	
20	22695161	4	4	
21	24226752	4	4.2	
22	25778172	4	4.4	
23	27349543	4	4.6	
24	28920914	4	4.8	
25	30512114	4	5	
26	40000000	4	5.2	
27	50000000	4	5.4	
28	60000000	4	5.6	
29	70000000	4	5.8	
30	80000000	4	6	
31	90000000	4	6.2	
32	100000000	4	6.4	
33	110000000	4	6.6	
34	120000000	4	6.8	
35	130000000	4	7	
36	140000000	4	7.2	
37	150000000	4	7.4	
38	160000000	4	7.6	
39	170000000	4	7.8	
40	180000000	4	8	
