itemid	政卡类型	政卡加成	技能name
8920	1	5	增加铜币收入
8921	1	10	
8922	1	15	
8923	1	20	
8924	1	25	
8925	1	30	
8926	1	35	
8927	1	40	
8928	1	45	
8929	1	50	
8480	2	5	增加粮食收入
8481	2	10	
8482	2	15	
8483	2	20	
8484	2	25	
8485	2	30	
8486	2	35	
8487	2	40	
8488	2	45	
8489	2	50	
9930	4	5	增加木材收入
9931	4	10	
9932	4	15	
9933	4	20	
9934	4	25	
9935	4	30	
9936	4	35	
9937	4	40	
9938	4	45	
9939	4	50	
8980	5	5	增加铁矿收入
8981	5	10	
8982	5	15	
8983	5	20	
8984	5	25	
8985	5	30	
8986	5	35	
8987	5	40	
8988	5	45	
8989	5	50	
9920	6	5	增加马匹收入
9921	6	10	
9922	6	15	
9923	6	20	
9924	6	25	
9925	6	30	
9926	6	35	
9927	6	40	
9928	6	45	
9929	6	50	
9980	7	4	减少招募部队所耗时间
9981	7	8	
9982	7	12	
9983	7	16	
9984	7	20	
9985	7	24	
9986	7	28	
9987	7	32	
9988	7	36	
9989	7	40	
8440	8	5	增加府库容量上限
8441	8	10	
8442	8	15	
8443	8	20	
8444	8	25	
8445	8	30	
8446	8	35	
8447	8	40	
8448	8	45	
8449	8	50	
10300	9	10	加快建造速度
10301	9	15	
10302	9	20	
10303	9	25	
10304	9	30	
10305	9	35	
10306	9	40	
10307	9	45	
10308	9	50	
10309	9	55	
