id	icon	icon2	icon大	icon大灰	icon灰	icon剧情	性别	价格	是否付费道具
1	UI_PlayerFace_Male_12.img	UI_PlayerFace_Male_12.img	UI_PlayerFace_Male_12.img	UI_PlayerFace_Male_12.img	UI_PlayerFace_Male_12_D.img	Action_PlayerFace_Male_12.img	0	0	0
2	UI_PlayerFace_Male_13.img	UI_PlayerFace_Male_13.img	UI_PlayerFace_Male_13.img	UI_PlayerFace_Male_13.img	UI_PlayerFace_Male_13_D.img	Action_PlayerFace_Male_13.img	0	0	0
3	UI_PlayerFace_Male_04.img	UI_PlayerFace_Male_04.img	UI_PlayerFace_Male_04.img	UI_PlayerFace_Male_04.img	UI_PlayerFace_Male_04_D.img	Action_PlayerFace_Male_04.img	0	0	0
4	UI_PlayerFace_Male_03.img	UI_PlayerFace_Male_03.img	UI_PlayerFace_Male_03.img	UI_PlayerFace_Male_03.img	UI_PlayerFace_Male_03_D.img	Action_PlayerFace_Male_03.img	0	0	0
5	UI_PlayerFace_Male_09.img	UI_PlayerFace_Male_09.img	UI_PlayerFace_Male_09.img	UI_PlayerFace_Male_09.img	UI_PlayerFace_Male_09_D.img	Action_PlayerFace_Male_09.img	0	0	0
6	UI_PlayerFace_Male_11.img	UI_PlayerFace_Male_11.img	UI_PlayerFace_Male_11.img	UI_PlayerFace_Male_11.img	UI_PlayerFace_Male_11_D.img	Action_PlayerFace_Male_11.img	0	0	0
7	UI_PlayerFace_Male_05.img	UI_PlayerFace_Male_05.img	UI_PlayerFace_Male_05.img	UI_PlayerFace_Male_05.img	UI_PlayerFace_Male_05_D.img	Action_PlayerFace_Male_05.img	0	0	0
8	UI_PlayerFace_Male_08.img	UI_PlayerFace_Male_08.img	UI_PlayerFace_Male_08.img	UI_PlayerFace_Male_08.img	UI_PlayerFace_Male_08_D.img	Action_PlayerFace_Male_08.img	0	0	0
9	UI_PlayerFace_Male_10.img	UI_PlayerFace_Male_10.img	UI_PlayerFace_Male_10.img	UI_PlayerFace_Male_10.img	UI_PlayerFace_Male_10_D.img	Action_PlayerFace_Male_10.img	0	0	0
10	UI_PlayerFace_Male_01.img	UI_PlayerFace_Male_01.img	UI_PlayerFace_Male_01.img	UI_PlayerFace_Male_01.img	UI_PlayerFace_Male_01_D.img	Action_PlayerFace_Male_01.img	0	0	0
11	UI_PlayerFace_Male_02.img	UI_PlayerFace_Male_02.img	UI_PlayerFace_Male_02.img	UI_PlayerFace_Male_02.img	UI_PlayerFace_Male_02_D.img	Action_PlayerFace_Male_02.img	0	0	0
12	UI_PlayerFace_Male_06.img	UI_PlayerFace_Male_06.img	UI_PlayerFace_Male_06.img	UI_PlayerFace_Male_06.img	UI_PlayerFace_Male_06_D.img	Action_PlayerFace_Male_06.img	0	0	0
13	UI_PlayerFace_Male_07.img	UI_PlayerFace_Male_07.img	UI_PlayerFace_Male_07.img	UI_PlayerFace_Male_07.img	UI_PlayerFace_Male_07_D.img	Action_PlayerFace_Male_07.img	0	0	0
14	UI_PlayerFace_Female_03.img	UI_PlayerFace_Female_03.img	UI_PlayerFace_Female_03.img	UI_PlayerFace_Female_03.img	UI_PlayerFace_Female_03_D.img	Action_PlayerFace_Female_03.img	1	0	0
15	UI_PlayerFace_Female_06.img	UI_PlayerFace_Female_06.img	UI_PlayerFace_Female_06.img	UI_PlayerFace_Female_06.img	UI_PlayerFace_Female_06_D.img	Action_PlayerFace_Female_06.img	1	0	0
16	UI_PlayerFace_Female_08.img	UI_PlayerFace_Female_08.img	UI_PlayerFace_Female_08.img	UI_PlayerFace_Female_08.img	UI_PlayerFace_Female_08_D.img	Action_PlayerFace_Female_08.img	1	0	0
17	UI_PlayerFace_Female_09.img	UI_PlayerFace_Female_09.img	UI_PlayerFace_Female_09.img	UI_PlayerFace_Female_09.img	UI_PlayerFace_Female_09_D.img	Action_PlayerFace_Female_09.img	1	0	0
18	UI_PlayerFace_Female_10.img	UI_PlayerFace_Female_10.img	UI_PlayerFace_Female_10.img	UI_PlayerFace_Female_10.img	UI_PlayerFace_Female_10_D.img	Action_PlayerFace_Female_10.img	1	0	0
19	UI_PlayerFace_Female_01.img	UI_PlayerFace_Female_01.img	UI_PlayerFace_Female_01.img	UI_PlayerFace_Female_01.img	UI_PlayerFace_Female_01_D.img	Action_PlayerFace_Female_01.img	1	0	0
20	UI_PlayerFace_Female_02.img	UI_PlayerFace_Female_02.img	UI_PlayerFace_Female_02.img	UI_PlayerFace_Female_02.img	UI_PlayerFace_Female_02_D.img	Action_PlayerFace_Female_02.img	1	0	0
