将卡	神器Abstractid	组合名称	描述	备注	攻速	CD缩减	移动速度	护甲值	法术抗性	格挡几率	攻击力	生命值	暴击率	闪避率	攻城攻击力	攻击距离	命中率	穿透	法术穿透	潜行	反潜行	视野	无视闪避	反弹物伤	反弹法伤	物理吸血	法术吸血	暴击剑	溅射	物伤加深	法伤加深	abstractid	物伤加成	法伤加成	回复效果
|8154|8155|8156|8157|8158|8159|	|50000|	倚天剑	基础闪避+0.5%	许褚										5																					
|8284|8285|8286|8287|8288|8289|	|50000|	倚天剑	攻击+0.5%	郭嘉							5																								
|8564|8565|8566|8567|8568|8569|	|50000|	倚天剑	生命+0.5%	魏延								5																							
|9724|9725|9726|9727|9728|9729|	|50000|	倚天剑	CD缩减+0.5%	沈莹		5																													
|10144|10145|10146|10147|10148|10149|	|50000|	倚天剑	攻击+0.5%	带来洞主							5																								
|8154|8155|8156|8157|8158|8159|	|50001|	倚天剑	基础闪避+1%	许褚										10																					
|8284|8285|8286|8287|8288|8289|	|50001|	倚天剑	攻击+1%	郭嘉							10																								
|8564|8565|8566|8567|8568|8569|	|50001|	倚天剑	生命+1%	魏延								10																							
|9724|9725|9726|9727|9728|9729|	|50001|	倚天剑	CD缩减+1%	沈莹		10																													
|10144|10145|10146|10147|10148|10149|	|50001|	倚天剑	攻击+1%	带来洞主							10																								
|8154|8155|8156|8157|8158|8159|	|50002|	倚天剑	基础闪避+1.5%	许褚										15																					
|8284|8285|8286|8287|8288|8289|	|50002|	倚天剑	攻击+1.5%	郭嘉							15																								
|8564|8565|8566|8567|8568|8569|	|50002|	倚天剑	生命+1.5%	魏延								15																							
|9724|9725|9726|9727|9728|9729|	|50002|	倚天剑	CD缩减+1.5%	沈莹		15																													
|10144|10145|10146|10147|10148|10149|	|50002|	倚天剑	攻击+1.5%	带来洞主							15																								
|8154|8155|8156|8157|8158|8159|	|50003|	倚天剑	基础闪避+2%	许褚										20																					
|8284|8285|8286|8287|8288|8289|	|50003|	倚天剑	攻击+2%	郭嘉							20																								
|8564|8565|8566|8567|8568|8569|	|50003|	倚天剑	生命+2%	魏延								20																							
|9724|9725|9726|9727|9728|9729|	|50003|	倚天剑	CD缩减+2%	沈莹		20																													
|10144|10145|10146|10147|10148|10149|	|50003|	倚天剑	攻击+2%	带来洞主							20																								
|8154|8155|8156|8157|8158|8159|	|50004|	倚天剑	基础闪避+2.5%	许褚										25																					
|8284|8285|8286|8287|8288|8289|	|50004|	倚天剑	攻击+2.5%	郭嘉							25																								
|8564|8565|8566|8567|8568|8569|	|50004|	倚天剑	生命+2.5%	魏延								25																							
|9724|9725|9726|9727|9728|9729|	|50004|	倚天剑	CD缩减+2.5%	沈莹		25																													
|10144|10145|10146|10147|10148|10149|	|50004|	倚天剑	攻击+2.5%	带来洞主							25																								
|8154|8155|8156|8157|8158|8159|	|50005|	倚天剑	基础闪避+3%/n自身血量低于40%时，普通攻击有10%的概率提升自身50%攻速和5%物理吸血，持续5秒	许褚										30																		23250			
|8284|8285|8286|8287|8288|8289|	|50005|	倚天剑	攻击+3%/n在变小和缴械状态下，若被攻击则提升自身5%生命上限，持续6秒	郭嘉							30																					23270			
|8564|8565|8566|8567|8568|8569|	|50005|	倚天剑	生命+3%/n受到攻击时，有1%概率提高自身5%生命上限，持续10秒	魏延								30																				23350			
|9724|9725|9726|9727|9728|9729|	|50005|	倚天剑	CD缩减+3%/n释放技能时，若自身有甘宁增益效果，则提高20%攻击，持续5秒	沈莹		30																										23040			
|10144|10145|10146|10147|10148|10149|	|50005|	倚天剑	攻击+3%/n释放技能时，提高自身飞刀兵藤甲兵象兵5%血量和攻击，持续5秒	带来洞主							30																					23140			
|8154|8155|8156|8157|8158|8159|	|50006|	倚天剑	基础闪避+3.5%/n自身血量低于40%时，普通攻击有10%的概率提升自身50%攻速和5%物理吸血，持续5秒	许褚										35																		23250			
|8284|8285|8286|8287|8288|8289|	|50006|	倚天剑	攻击+3.5%/n在变小和缴械状态下，若被攻击则提升自身5%生命上限，持续6秒	郭嘉							35																					23270			
|8564|8565|8566|8567|8568|8569|	|50006|	倚天剑	生命+3.5%/n受到攻击时，有1%概率提高自身5%生命上限，持续10秒	魏延								35																				23350			
|9724|9725|9726|9727|9728|9729|	|50006|	倚天剑	CD缩减+3.5%/n释放技能时，若自身有甘宁增益效果，则提高20%攻击，持续5秒	沈莹		35																										23040			
|10144|10145|10146|10147|10148|10149|	|50006|	倚天剑	攻击+3.5%/n释放技能时，提高自身飞刀兵藤甲兵象兵5%血量和攻击，持续5秒	带来洞主							35																					23140			
|8154|8155|8156|8157|8158|8159|	|50007|	倚天剑	基础闪避+4%/n自身血量低于40%时，普通攻击有10%的概率提升自身50%攻速和5%物理吸血，持续5秒	许褚										40																		23250			
|8284|8285|8286|8287|8288|8289|	|50007|	倚天剑	攻击+4%/n在变小和缴械状态下，若被攻击则提升自身5%生命上限，持续6秒	郭嘉							40																					23270			
|8564|8565|8566|8567|8568|8569|	|50007|	倚天剑	生命+4%/n受到攻击时，有1%概率提高自身5%生命上限，持续10秒	魏延								40																				23350			
|9724|9725|9726|9727|9728|9729|	|50007|	倚天剑	CD缩减+4%/n释放技能时，若自身有甘宁增益效果，则提高20%攻击，持续5秒	沈莹		40																										23040			
|10144|10145|10146|10147|10148|10149|	|50007|	倚天剑	攻击+4%/n释放技能时，提高自身飞刀兵藤甲兵象兵5%血量和攻击，持续5秒	带来洞主							40																					23140			
|8154|8155|8156|8157|8158|8159|	|50008|	倚天剑	基础闪避+4.5%/n自身血量低于40%时，普通攻击有10%的概率提升自身50%攻速和5%物理吸血，持续5秒	许褚										45																		23250			
|8284|8285|8286|8287|8288|8289|	|50008|	倚天剑	攻击+4.5%/n在变小和缴械状态下，若被攻击则提升自身5%生命上限，持续6秒	郭嘉							45																					23270			
|8564|8565|8566|8567|8568|8569|	|50008|	倚天剑	生命+4.5%/n受到攻击时，有1%概率提高自身5%生命上限，持续10秒	魏延								45																				23350			
|9724|9725|9726|9727|9728|9729|	|50008|	倚天剑	CD缩减+4.5%/n释放技能时，若自身有甘宁增益效果，则提高20%攻击，持续5秒	沈莹		45																										23040			
|10144|10145|10146|10147|10148|10149|	|50008|	倚天剑	攻击+4.5%/n释放技能时，提高自身飞刀兵藤甲兵象兵5%血量和攻击，持续5秒	带来洞主							45																					23140			
|8154|8155|8156|8157|8158|8159|	|50009|	倚天剑	基础闪避+5%/n自身血量低于40%时，普通攻击有10%的概率提升自身50%攻速和5%物理吸血，持续5秒	许褚										50																		23250			
