州ID	州名称	军团等级	特产类型	特产id	产出几率	特产数量	需求贡献
1017	平州	1|4	10	7638	10	1	2830
1017	平州	1|4	10	7603	10	1	1130
1017	平州	1|4	10	7703	10	1	2830
1017	平州	5|8	10	7638	10	1	2830
1017	平州	5|8	10	7703	10	1	2830
1017	平州	5|8	10	7613	10	1	7080
1017	平州	5|8	10	7673	10	1	7080
1017	平州	9|11	10	7613	10	1	7080
1017	平州	9|11	10	7673	10	1	7080
1017	平州	9|11	10	7618	10	1	17700
1017	平州	9|11	10	7698	10	1	17700
1017	平州	12|14	10	7613	10	1	7080
1017	平州	12|14	10	7673	10	1	7080
1017	平州	12|14	10	7618	20	1	17700
1017	平州	12|14	10	7698	20	1	17700
1017	平州	15|18	10	7618	10	1	17700
1017	平州	15|18	10	7698	10	1	17700
1017	平州	15|18	10	7688	10	1	70780
1017	平州	15|18	10	7693	10	1	70780
1017	平州	19|20	10	7618	10	1	17700
1017	平州	19|20	10	7698	10	1	17700
1017	平州	19|20	10	7688	20	1	70780
1017	平州	19|20	10	7693	20	1	70780
1007	幽州	1|4	10	7603	10	1	1130
1007	幽州	1|4	10	7718	10	1	2830
1007	幽州	1|4	10	7748	10	1	2830
1007	幽州	5|8	10	7718	10	1	2830
1007	幽州	5|8	10	7748	10	1	2830
1007	幽州	5|8	10	7613	10	1	7080
1007	幽州	5|8	10	7673	10	1	7080
1007	幽州	9|11	10	7613	10	1	7080
1007	幽州	9|11	10	7673	10	1	7080
1007	幽州	9|11	10	7618	10	1	17700
1007	幽州	9|11	10	7618	10	1	17700
1007	幽州	12|14	10	7613	10	1	7080
1007	幽州	12|14	10	7673	10	1	7080
1007	幽州	12|14	10	7618	20	1	17700
1007	幽州	12|14	10	7618	20	1	17700
1007	幽州	15|18	10	7618	10	1	17700
1007	幽州	15|18	10	7618	10	1	17700
1007	幽州	15|18	10	7688	10	1	70780
1007	幽州	15|18	10	7658	10	1	70780
1007	幽州	19|20	10	7618	10	1	17700
1007	幽州	19|20	10	7618	10	1	17700
1007	幽州	19|20	10	7688	20	1	70780
1007	幽州	19|20	10	7658	20	1	70780
1002	冀州	1|4	10	7603	10	1	1130
1002	冀州	1|4	10	7718	10	1	2830
1002	冀州	1|4	10	7748	10	1	2830
1002	冀州	5|8	10	7718	10	1	2830
