µÈ¼¶	item
1	6601|0|1
1	6602|0|1
1	6603|0|1
2	6601|0|1
2	6604|0|1
3	6601|0|1
4	6601|0|1
5	6601|0|1
6	6601|0|1
7	6601|0|1
8	6601|0|1
9	6601|0|1
10	6601|0|1
11	6601|0|1
12	6601|0|1
13	6601|0|1
14	6601|0|1
15	6601|0|1
16	6601|0|1
17	6601|0|1
18	6601|0|1
19	6601|0|1
20	6601|0|1
21	6601|0|1
22	6601|0|1
23	6601|0|1
24	6601|0|1
25	6601|0|1
26	6601|0|1
27	6601|0|1
28	6601|0|1
29	6601|0|1
30	6601|0|1
31	6601|0|1
32	6601|0|1
33	6601|0|1
34	6601|0|1
35	6601|0|1
36	6601|0|1
37	6601|0|1
38	6601|0|1
39	6601|0|1
40	6601|0|1
41	6601|0|1
42	6601|0|1
43	6601|0|1
44	6601|0|1
45	6601|0|1
46	6601|0|1
47	6601|0|1
48	6601|0|1
49	6601|0|1
50	6601|0|1
51	6601|0|1
52	6601|0|1
53	6601|0|1
54	6601|0|1
55	6601|0|1
56	6601|0|1
57	6601|0|1
58	6601|0|1
59	6601|0|1
60	6601|0|1
61	6601|0|1
62	6601|0|1
63	6601|0|1
64	6601|0|1
65	6601|0|1
66	6601|0|1
67	6601|0|1
68	6601|0|1
69	6601|0|1
70	6601|0|1
71	6601|0|1
72	6601|0|1
73	6601|0|1
74	6601|0|1
75	6601|0|1
76	6601|0|1
77	6601|0|1
78	6601|0|1
79	6601|0|1
80	6601|0|1
