id	lv	Ê±¼ä	Í­Ç®	Ä¾²Ä	Ìú¿ó	Á¸Ê³
20024	1	22	1	5	5	5
20024	2	25	2	10	10	10
20024	3	28	3	15	15	15
20024	4	32	4	20	20	20
20024	5	36	5	25	25	25
20024	6	40	6	30	30	30
20024	7	44	7	35	35	35
20024	8	49	8	40	40	40
20024	9	54	9	45	45	45
20024	10	60	10	50	50	50
20024	11	666	12	60	60	60
20024	12	731	14	70	70	70
20024	13	800	16	80	80	80
20024	14	875	18	90	90	90
20024	15	956	20	100	100	100
20024	16	1043	22	110	110	110
20024	17	1136	24	120	120	120
20024	18	1236	26	130	130	130
20024	19	1344	28	140	140	140
20024	20	1460	30	150	150	150
20024	21	1584	32	160	160	160
20024	22	1718	34	170	170	170
20024	23	1862	36	180	180	180
20024	24	2016	38	190	190	190
20024	25	2183	40	200	200	200
20024	26	2361	42	210	210	210
20024	27	2553	44	220	220	220
20024	28	2760	46	230	230	230
20024	29	2982	48	240	240	240
20024	30	3221	50	250	250	250
20024	31	3477	53	263	263	263
20024	32	3753	55	275	275	275
20024	33	4049	58	288	288	288
20024	34	4368	60	300	300	300
20024	35	4711	63	313	313	313
20024	36	5079	65	325	325	325
20024	37	5475	68	338	338	338
20024	38	5900	70	350	350	350
20024	39	6358	73	363	363	363
20024	40	6850	75	375	375	375
20024	41	7379	78	388	388	388
20024	42	7947	80	400	400	400
20024	43	8558	83	413	413	413
20024	44	9215	85	425	425	425
20024	45	9921	88	438	438	438
20024	46	10680	90	450	450	450
20024	47	11496	93	463	463	463
20024	48	12373	95	475	475	475
20024	49	13316	98	488	488	488
20024	50	14330	100	500	500	500
20024	51	15420	105	525	525	525
20024	52	16591	110	550	550	550
20024	53	17851	115	575	575	575
20024	54	19204	120	600	600	600
20024	55	20660	125	625	625	625
20024	56	22224	130	650	650	650
20024	57	23906	135	675	675	675
20024	58	25714	140	700	700	700
20024	59	27657	145	725	725	725
20024	60	29747	150	750	750	750
20024	61	31993	155	775	775	775
20024	62	34407	160	800	800	800
20024	63	37003	165	825	825	825
20024	64	39793	170	850	850	850
20024	65	42792	175	875	875	875
20024	66	46017	180	900	900	900
20024	67	49483	190	950	950	950
20024	68	53209	200	1000	1000	1000
20024	69	57215	210	1050	1050	1050
20024	70	61521	220	1100	1100	1100
20024	71	66150	230	1150	1150	1150
20024	72	71126	240	1200	1200	1200
20024	73	76476	250	1250	1250	1250
20024	74	82227	260	1300	1300	1300
20024	75	88409	270	1350	1350	1350
20024	76	95054	280	1400	1400	1400
20024	77	102198	290	1450	1450	1450
20024	78	109878	300	1500	1500	1500
20024	79	118134	310	1550	1550	1550
