´ÎÊý	Ôª±¦	ÕÛ¿Û
1	5	1
2	5	1
3	10	2
4	15	3
5	20	4
6	25	5
7	30	6
8	35	7
9	40	8
10	45	9
11	50	0
12	50	0
13	70	0
14	70	0
15	100	0
16	100	0
17	100	0
18	200	0
19	200	0
20	200	0
21	200	0
22	200	0
23	200	0
24	200	0
25	200	0
26	200	0
27	200	0
28	200	0
29	200	0
30	200	0
31	200	0
32	200	0
33	200	0
34	200	0
35	200	0
36	200	0
37	200	0
38	200	0
39	200	0
40	200	0
41	400	0
42	400	0
43	400	0
44	400	0
45	400	0
46	400	0
47	400	0
48	400	0
49	400	0
50	400	0
51	600	0
52	600	0
53	600	0
54	600	0
55	600	0
56	600	0
57	600	0
58	600	0
59	600	0
60	600	0
61	800	0
62	800	0
63	800	0
64	800	0
65	800	0
66	800	0
67	800	0
68	800	0
69	800	0
70	800	0
71	800	0
72	800	0
73	800	0
74	800	0
75	800	0
76	800	0
77	800	0
78	800	0
79	800	0
80	800	0
81	800	0
82	800	0
83	800	0
84	800	0
85	800	0
86	800	0
87	800	0
88	800	0
89	800	0
90	800	0
91	800	0
92	800	0
93	800	0
94	800	0
95	800	0
96	800	0
97	800	0
98	800	0
99	800	0
100	800	0
