site	MainWeb	Recharge	Forum	Tutorial	Register	TAB_VERSION
	www.quegame.com	http://www.quegame.com/recharge.php?	http://bbs.quegame.com/	http://bbs.quegame.com/forum.php?mod=forumdisplay&fid=45	www.quegame.com	135
QQ		http://s2.app1105124958.qqopenapp.com/index.php/index/buy_goods?payitem=	http://bbs.open.qq.com/forum.php?mod=forumdisplay&action=list&fid=4693			
kongzhong	http://koei.kongzhong.com/index.html	http://passport.kongzhong.com/v/billing/pay/game_bank?&server=%s&user=%s	http://bbs.kongzhong.com/forum.php?gid=350			
6533	http://jxj.6533.com/	http://pay.6533.com/?chargegame=360&server=%s&user=%s	http://jxj.6533.com/	http://jxj.6533.com/	http://jxj.6533.com/	
152g	http://jxj.152g.com/	http://www.152g.com/link.jsp?t=pay&g=68&server_id=%s&user=%s	http://www.152g.com/link.jsp?t=forum&g=68	http://jxj.152g.com/	http://jxj.152g.com/	
joykl	http://jxj.joykl.com/	http://www.joykl.com/Web/UserCenter/PayAction.aspx	http://www.joykl.com/Game/JXJ/List.aspx?ClassID=126	http://www.joykl.com/Game/JXJ/List.aspx?ClassID=126	http://jxj.joykl.com/	
u77	http://www.u77.com/game/10508	http://www.u77.com/payment?id=21&server=%s&userid=%s	http://www.u77.com/game/10508	http://www.u77.com/game/10508	http://www.u77.com/game/10508	
dbh	www.dbh123.net/jxj	http://www.dbh123.net/index/pay.htm	http://www.dbh123.net/news/list/jxjzl.html	www.dbh123.net/jxj	www.dbh123.net/jxj	
84joy	jxj.84joy.com	http://www.84joy.com/pay?gid=18&sid=%s	http://bbs.84joy.com/forum.php?mod=forumdisplay&fid=38	jxj.84joy.com	jxj.84joy.com	
820cc	http://www.820cc.com/xj.html	http://www.820cc.com/pay-order.html?gid=62500	http://www.820cc.com/service.html	http://www.820cc.com/xj.html	http://www.820cc.com/xj.html	
311wan	http://jxj.311wan.com	http://pay.311wan.com/index.php?step=2&referer=pay.311wan.com&g=jxj&pay_username=	http://jxj.311wan.com	http://jxj.311wan.com	http://jxj.311wan.com	
uquq	http://www.uquq.com	http://www.uquq.com/pay	http://www.uquq.com	http://www.uquq.com	http://www.uquq.com	
jiazi	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	http://api.ccjoy.cc/GamePayLink.ashx?serviceregion=J3&server=%s&account=%s	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	
jxj178	jxj.178.com	http://pay.178.com/pay.php?product_id=165	http://bbs.178.com/forum-1349-1.html	http://bbs.178.com/forum-1349-1.html	jxj.178.com	
NG	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	http://api.ccjoy.cc/GamePayLink.ashx?serviceregion=J3&server=%s&account=%s	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	
npcka	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	http://api.ccjoy.cc/GamePayLink.ashx?serviceregion=J3&server=%s&account=%s	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=2	http://api.ccjoy.cc/RedirectUrl.ashx?GameID=91&ServiceRegion=J3&Type=1	
