VipLevel	免费征税	元宝征税	军令上限	购买军令	精炼锁定属性条数	战场鼓舞等级上限	建筑条开放	征兵条开放	副本奖励翻倍购买	国家建设次数	资源购买次数	世界副本奖励购买	战场补兵元宝买资源	资源建筑等级上限	自动战斗时自动复活	科技_府库2	自动战斗元宝补兵
1	12	10	40	4	0	1	2	1	2	15	7	0	×	1	×	10%	×
2	12	20	48	5	0	2	2	2	3	20	9	0	×	2	×	10%	×
3	12	30	60	6	0	3	3	2	3	25	11	1	√	2	√	10%	×
4	13	40	72	7	0	4	3	3	3	30	13	1	√	3	√	15%	×
5	13	50	84	8	1	5	3	3	3	35	15	2	√	3	√	15%	×
6	14	60	96	9	1	6	4	3	3	40	17	2	√	4	√	20%	×
7	14	70	108	10	1	7	4	3	4	45	19	3	√	4	√	20%	×
8	15	80	120	11	1	8	4	4	4	不限	21	3	√	5	√	30%	×
9	15	90	132	12	2	9	4	4	4	不限	23	4	√	5	√	30%	×
10	16	100	144	13	2	10	4	4	4	不限	25	4	√	5	√	40%	×
11	16	110	156	14	2	11	4	4	4	不限	27	5	√	5	√	40%	×
12	18	120	168	15	2	12	4	4	4	不限	29	5	√	5	√	50%	×
13	18	140	180	16	2	13	4	4	4	不限	31	6	√	5	√	50%	×
14	20	160	192	17	2	14	4	4	4	不限	33	6	√	5	√	60%	×
15	20	180	204	18	2	15	4	4	4	不限	35	7	√	5	√	60%	√
