itemid	inlayid	µôÂä¼¸ÂÊ
3400	1	100
3401	2	100
3402	3	100
3403	4	100
3404	5	100
3405	6	100
3406	7	100
3407	8	100
3410	11	100
3411	12	100
3412	13	100
3413	14	100
3414	15	100
3415	16	100
3416	17	100
3417	18	100
3420	21	100
3421	22	100
3422	23	100
3423	24	100
3424	25	100
3425	26	100
3426	27	100
3427	28	100
3430	31	100
3431	32	100
3432	33	100
3433	34	100
3434	35	100
3435	36	100
3436	37	100
3437	38	100
3440	41	100
3441	42	100
3442	43	100
3443	44	100
3444	45	100
3445	46	100
3446	47	100
3447	48	100
3450	51	100
3451	52	100
3452	53	100
3453	54	100
3454	55	100
3455	56	100
3456	57	100
3457	58	100
3460	61	100
3461	62	100
3462	63	100
3463	64	100
3464	65	100
3465	66	100
3466	67	100
3467	68	100
3470	71	100
3471	72	100
3472	73	100
3473	74	100
3474	75	100
3475	76	100
3476	77	100
3477	78	100
