itemid	掉落种数	掉落类型	dropid	掉落几率	数量	势力
6064	1	10	8014	20	1|1	10
6064	1	10	8024	20	1|1	10
6064	1	10	8034	20	1|1	10
6064	1	10	8074	20	1|1	10
6064	1	10	8084	20	1|1	10
6064	1	10	8094	20	1|1	10
6064	1	10	8104	20	1|1	10
6064	1	10	8124	20	1|1	10
6064	1	10	8154	20	1|1	10
6064	1	10	8164	20	1|1	10
6064	1	10	8264	20	1|1	10
6064	1	10	8274	20	1|1	10
6064	1	10	8284	20	1|1	10
6064	1	10	8294	20	1|1	10
6064	1	10	8304	20	1|1	10
6064	1	10	8314	20	1|1	10
6064	1	10	8324	20	1|1	10
6064	1	10	8494	20	1|1	10
6064	1	10	8504	20	1|1	10
6064	1	10	8514	20	1|1	11
6064	1	10	8524	20	1|1	11
6064	1	10	8534	20	1|1	11
6064	1	10	8544	20	1|1	11
6064	1	10	8554	20	1|1	11
6064	1	10	8564	20	1|1	11
6064	1	10	8574	20	1|1	11
6064	1	10	8584	20	1|1	11
6064	1	10	8604	20	1|1	11
6064	1	10	8624	20	1|1	11
6064	1	10	8644	20	1|1	11
6064	1	10	8654	20	1|1	11
6064	1	10	8674	20	1|1	11
6064	1	10	8724	20	1|1	11
6064	1	10	8764	20	1|1	11
6064	1	10	8774	20	1|1	11
6064	1	10	8784	20	1|1	11
6064	1	10	8814	20	1|1	11
6064	1	10	8964	20	1|1	11
6064	1	10	9514	20	1|1	12
6064	1	10	9524	20	1|1	12
6064	1	10	9564	20	1|1	12
6064	1	10	9574	20	1|1	12
6064	1	10	9584	20	1|1	12
6064	1	10	9594	20	1|1	12
6064	1	10	9604	20	1|1	12
6064	1	10	9614	20	1|1	12
6064	1	10	9624	20	1|1	12
6064	1	10	9724	20	1|1	12
6064	1	10	9734	20	1|1	12
6064	1	10	9794	20	1|1	12
6064	1	10	9814	20	1|1	12
6064	1	10	9834	20	1|1	12
6064	1	10	9844	20	1|1	12
6064	1	10	9904	20	1|1	12
6064	1	10	9994	20	1|1	12
6064	1	10	10004	20	1|1	12
6064	1	10	8444	20	1|1	2
6064	1	10	8484	20	1|1	2
6064	1	10	8924	20	1|1	2
6064	1	10	8984	20	1|1	2
6064	1	10	9924	20	1|1	2
6064	1	10	9934	20	1|1	2
6064	1	10	9984	20	1|1	2
6064	1	10	10014	20	1|1	2
6064	1	10	10024	20	1|1	2
6064	1	10	10034	20	1|1	2
6064	1	10	10044	20	1|1	2
6064	1	10	10054	20	1|1	2
6064	1	10	10064	20	1|1	2
6064	1	10	10074	20	1|1	2
6064	1	10	10084	20	1|1	2
6064	1	10	10104	20	1|1	2
6064	1	10	10114	20	1|1	2
6064	1	10	10124	20	1|1	2
6064	1	10	10134	20	1|1	2
6064	1	10	10144	20	1|1	2
6064	1	10	10164	20	1|1	2
6064	1	10	10194	20	1|1	2
6064	1	10	10204	20	1|1	2
6064	1	10	10254	20	1|1	2
6064	1	10	10294	20	1|1	2
6064	1	10	10304	20	1|1	2
6126	1	10	8505	100	1|1	10
6126	1	10	8825	100	1|1	11
6126	1	10	9645	100	1|1	12
6218	1	10	8135	100	1|1	10
6218	1	10	8635	100	1|1	11
6218	1	10	9665	100	1|1	12
6219	1	10	8045	100	1|1	10
6219	1	10	8745	100	1|1	11
6219	1	10	9635	100	1|1	12
