id	filename	script
1	data/JXJitem/Manor_Fuya.cre	JXJ/script/item/sceneItemR1.cfg
2	data/JXJitem/Manor_Bingying.cre	JXJ/script/item/sceneItemR1.cfg
3	data/JXJitem/Manor_Jiusi.cre	JXJ/script/item/sceneItemR1.cfg
4	data/JXJitem/Manor_Gongfang.cre	JXJ/script/item/sceneItemR1.cfg
5	data/JXJitem/Manor_Shiji.cre	JXJ/script/item/sceneItemR1.cfg
6	data/JXJitem/Manor_Fuku.cre	JXJ/script/item/sceneItemR1.cfg
7	data/JXJitem/Manor_Minju.cre	JXJ/script/item/sceneItemR1.cfg
8	data/JXJitem/Manor_Nongtian.cre	JXJ/script/item/sceneItemR1.cfg
9	data/JXJitem/Manor_Muchang.cre	JXJ/script/item/sceneItemR1.cfg
10	data/JXJitem/Manor_Lindi.cre	JXJ/script/item/sceneItemR1.cfg
11	data/JXJitem/Manor_Tiekuang.cre	JXJ/script/item/sceneItemR1.cfg
12	data/JXJitem/BD_Manor_Ta.cre	JXJ/script/item/sceneItemR1.cfg
13	data/JXJitem/Manor_shuiche.cre	JXJ/script/item/sceneItemR1.cfg
14	data/JXJitem/Manor_ronglu.cre	JXJ/script/item/sceneItemR1.cfg
15	data/JXJitem/Manor_gongshe.cre	JXJ/script/item/sceneItemR1.cfg
16	data/JXJitem/Manor_mochuan.cre	JXJ/script/item/sceneItemR1.cfg
